ID,Ground Truth,Noised Signal,Model Output,,,Error
151,-0.266901989,-0.033350616,-0.149035767,,,-0.117866222
152,-0.26508494,0.097099085,-0.144502297,,,-0.120582643
153,-0.263266949,-0.338874182,-0.146307305,,,-0.116959644
154,-0.261448022,0.808595834,-0.131506309,,,-0.129941713
155,-0.259628166,-0.488097425,-0.135671481,,,-0.123956685
156,-0.257807388,-0.761363799,-0.143711969,,,-0.114095419
157,-0.255985694,-0.478509911,-0.147538289,,,-0.108447405
158,-0.25416309,-0.969342796,-0.158329681,,,-0.095833409
159,-0.252339584,-0.243314588,-0.158560827,,,-0.093778757
160,-0.250515181,-0.289586925,-0.159449443,,,-0.091065738
161,-0.248689887,-0.926002258,-0.169378802,,,-0.079311085
162,-0.24686371,-0.239402993,-0.169397369,,,-0.077466341
163,-0.245036656,0.11981515,-0.164312169,,,-0.080724487
164,-0.243208731,-1.066243889,-0.176123545,,,-0.067085186
165,-0.241379943,-0.202076862,-0.175519928,,,-0.065860015
166,-0.239550296,0.611575215,-0.163382068,,,-0.076168228
167,-0.237719798,-0.628317265,-0.169013366,,,-0.068706432
168,-0.235888456,-0.061746316,-0.16651462,,,-0.069373836
169,-0.234056276,0.838553913,-0.151179716,,,-0.08287656
170,-0.232223264,0.310784003,-0.143544063,,,-0.088679201
171,-0.230389427,-0.423893424,-0.146587476,,,-0.083801951
172,-0.228554771,-0.052992139,-0.144246176,,,-0.084308595
173,-0.226719303,0.488143656,-0.134108201,,,-0.092611102
174,-0.22488303,1.069450303,-0.115561947,,,-0.109321083
175,-0.223045958,-1.123789458,-0.129253164,,,-0.093792794
176,-0.221208093,-0.300617046,-0.130734637,,,-0.090473456
177,-0.219369442,-0.659694285,-0.137397006,,,-0.081972436
178,-0.217530012,0.214800342,-0.131289408,,,-0.086240604
179,-0.215689809,-0.322665078,-0.133060321,,,-0.082629488
180,-0.213848839,-1.420891065,-0.150644198,,,-0.063204641
181,-0.21200711,-0.048596995,-0.148188218,,,-0.063818892
182,-0.210164627,0.543085153,-0.13722302,,,-0.072941607
183,-0.208321398,0.723795115,-0.123711094,,,-0.084610304
184,-0.206477429,-1.096807865,-0.136836782,,,-0.069640647
185,-0.204632726,0.478143734,-0.126906291,,,-0.077726435
186,-0.202787295,-1.076091971,-0.139664307,,,-0.063122988
187,-0.200941145,-1.107394073,-0.152598545,,,-0.0483426
188,-0.19909428,-0.829277965,-0.1612892,,,-0.03780508
189,-0.197246708,0.092067781,-0.156689122,,,-0.040557586
190,-0.195398435,-0.064084282,-0.154378906,,,-0.041019529
191,-0.193549468,0.334845878,-0.146366462,,,-0.047183006
192,-0.191699813,-0.692739537,-0.153222665,,,-0.038477148
193,-0.189849477,0.875262913,-0.137419924,,,-0.052429553
194,-0.187998467,-0.467884283,-0.141196057,,,-0.04680241
195,-0.186146788,1.065945881,-0.122673467,,,-0.063473321
196,-0.184294449,-0.958046067,-0.133810505,,,-0.050483944
197,-0.182441454,-0.707543746,-0.141109064,,,-0.04133239
198,-0.180587811,-0.008979407,-0.138201192,,,-0.042386619
199,-0.178733527,-0.304744509,-0.139608875,,,-0.039124652
200,-0.176878607,0.670195854,-0.126861647,,,-0.05001696
201,-0.175023059,-0.243894639,-0.127553597,,,-0.047469462
202,-0.173166889,-0.10866153,-0.126267746,,,-0.046899143
203,-0.171310104,-0.688481431,-0.133427426,,,-0.037882678
204,-0.16945271,-0.872310364,-0.143110409,,,-0.026342301
205,-0.167594714,-0.569594045,-0.148256645,,,-0.019338069
206,-0.165736123,-1.354724947,-0.164526537,,,-0.001209586
207,-0.163876943,-0.342158222,-0.166075334,,,0.002198391
208,-0.16201718,-0.980139732,-0.176633343,,,0.014616163
209,-0.160156842,-0.830480765,-0.184869513,,,0.024712671
210,-0.158295935,-0.086464354,-0.182522103,,,0.024226168
211,-0.156434465,-0.595380006,-0.187352106,,,0.030917641
212,-0.15457244,0.135072252,-0.181861266,,,0.027288826
213,-0.152709865,0.021638693,-0.178027794,,,0.025317929
214,-0.150846748,-0.616332701,-0.183230683,,,0.032383935
215,-0.148983094,0.495773774,-0.172686264,,,0.02370317
216,-0.147118912,-0.24982366,-0.172805771,,,0.025686859
217,-0.145254207,-0.159034154,-0.171638235,,,0.026384028
218,-0.143388985,-0.097429943,-0.16961287,,,0.026223885
219,-0.141523254,-1.449543868,-0.186691239,,,0.045167985
220,-0.139657021,-0.561133472,-0.190969959,,,0.051312938
221,-0.137790291,-0.091648691,-0.188619152,,,0.050828861
222,-0.135923071,0.383851719,-0.179615036,,,0.043691965
223,-0.134055369,-0.127057378,-0.177906051,,,0.043850682
224,-0.13218719,1.486266571,-0.153267309,,,0.021080119
225,-0.130318542,-0.461129502,-0.156688735,,,0.026370193
226,-0.12844943,-0.659657021,-0.162885144,,,0.034435714
227,-0.126579862,-0.078425884,-0.16070123,,,0.034121368
228,-0.124709845,-0.103172981,-0.158898517,,,0.034188672
229,-0.122839384,-0.612929737,-0.16439034,,,0.041550956
230,-0.120968487,1.150489809,-0.144576922,,,0.023608435
231,-0.11909716,0.201611044,-0.138584033,,,0.019486873
232,-0.11722541,-0.776096064,-0.146781757,,,0.029556347
233,-0.115353243,-0.345178407,-0.148642704,,,0.033289461
234,-0.113480667,0.146293194,-0.143404707,,,0.02992404
235,-0.111607687,2.000755893,-0.111202821,,,-0.000404866
236,-0.109734311,-0.577955397,-0.117016956,,,0.007282645
237,-0.107860545,-0.245267501,-0.117872044,,,0.010011499
238,-0.105986396,-1.73219306,-0.140323862,,,0.034337466
239,-0.10411187,-0.431445338,-0.143527433,,,0.039415563
240,-0.102236974,0.096601325,-0.139064357,,,0.036827383
241,-0.100361715,-0.355836187,-0.141196832,,,0.040835117
242,-0.098486099,-0.921244871,-0.151429102,,,0.052943003
243,-0.096610134,-0.293367779,-0.152476594,,,0.05586646
244,-0.094733825,0.348835308,-0.1442803,,,0.049546475
245,-0.092857179,-0.396977045,-0.146924838,,,0.054067659
246,-0.090980204,-0.767370972,-0.154839709,,,0.063859505
247,-0.089102905,0.188259449,-0.148930892,,,0.059827987
248,-0.08722529,0.489227168,-0.138738766,,,0.051513476
249,-0.085347365,-1.036916308,-0.150681868,,,0.065334503
250,-0.083469137,-0.335861847,-0.152349904,,,0.068880767
251,-0.081590612,0.400058394,-0.14341639,,,0.061825778
252,-0.079711797,-0.600232762,-0.14899762,,,0.069285823
253,-0.077832699,-0.062570636,-0.146763697,,,0.068930998
254,-0.075953324,1.001710828,-0.129155144,,,0.05320182
255,-0.07407368,-0.736795787,-0.136961952,,,0.062888272
256,-0.072193772,0.342551606,-0.129002765,,,0.056808993
257,-0.070313608,-0.42072222,-0.132231638,,,0.06191803
258,-0.068433194,0.622062766,-0.120239809,,,0.051806615
259,-0.066552537,-0.248240601,-0.121091411,,,0.054538874
260,-0.064671643,-0.490585434,-0.125464037,,,0.060792394
261,-0.06279052,0.050956384,-0.121878013,,,0.059087493
262,-0.060909173,0.501619822,-0.111734465,,,0.050825292
263,-0.05902761,0.303922077,-0.104595318,,,0.045567708
264,-0.057145837,0.290700505,-0.097727433,,,0.040581596
265,-0.055263862,-0.383758415,-0.100908503,,,0.045644641
266,-0.05338169,-1.626125349,-0.1222554,,,0.06887371
267,-0.051499328,0.982287641,-0.105044171,,,0.053544843
268,-0.049616783,0.066202028,-0.101485237,,,0.051868454
269,-0.047734062,-0.700336805,-0.10926412,,,0.061530058
270,-0.045851172,-0.368315683,-0.11203824,,,0.066187068
271,-0.043968118,-0.47883882,-0.116387978,,,0.07241986
272,-0.042084909,-0.243604393,-0.117227897,,,0.075142988
273,-0.040201549,0.240352035,-0.110964522,,,0.070762973
274,-0.038318047,-0.605694338,-0.117188737,,,0.07887069
275,-0.036434409,-0.533711512,-0.122255072,,,0.085820663
276,-0.034550641,-0.529080888,-0.12716879,,,0.092618149
277,-0.032666751,0.534325546,-0.116500422,,,0.083833671
278,-0.030782744,-0.490179122,-0.120942608,,,0.090159864
279,-0.028898629,-0.062193632,-0.119066551,,,0.090167922
280,-0.02701441,0.423166367,-0.110100344,,,0.083085934
281,-0.025130095,1.076947145,-0.091553852,,,0.066423757
282,-0.023245692,-0.199543604,-0.092103973,,,0.068858281
283,-0.021361205,-0.506570786,-0.097188964,,,0.075827759
284,-0.019476643,1.284314494,-0.075619832,,,0.056143189
285,-0.017592011,-1.259082557,-0.092152908,,,0.074560897
286,-0.015707317,-0.437973169,-0.096222952,,,0.080515635
287,-0.013822567,0.079454383,-0.092577323,,,0.078754756
288,-0.011937769,0.912445164,-0.076583758,,,0.064645989
289,-0.010052927,0.787318725,-0.062585756,,,0.052532829
290,-0.00816805,0.586461843,-0.051736996,,,0.043568946
291,-0.006283144,0.281541036,-0.045607015,,,0.039323871
292,-0.004398216,-0.62488213,-0.053234681,,,0.048836465
293,-0.002513271,-0.749704638,-0.062607214,,,0.060093943
294,-0.000628318,-0.586900776,-0.06937848,,,0.068750162
295,0.001256637,-0.509738788,-0.074883923,,,0.07614056
296,0.003141587,0.562539973,-0.064273044,,,0.067414631
297,0.005026527,0.098201777,-0.060749784,,,0.065776311
298,0.006911449,0.686350375,-0.048412874,,,0.055324323
299,0.008796346,-0.117881424,-0.048355088,,,0.057151434
300,0.010681212,-0.672792059,-0.056657091,,,0.067338303
301,0.01256604,0.062850383,-0.053763404,,,0.066329444
302,0.014450823,-0.560126978,-0.060280904,,,0.074731727
303,0.016335555,-1.518339836,-0.081002101,,,0.097337656
304,0.018220229,0.846720103,-0.066077307,,,0.084297536
305,0.020104838,0.066534066,-0.063006088,,,0.083110926
306,0.021989376,1.301579833,-0.041358352,,,0.063347728
307,0.023873836,-0.523326182,-0.047525391,,,0.071399227
308,0.025758211,-0.084900863,-0.046982273,,,0.072740484
309,0.027642494,-1.062501642,-0.061165497,,,0.088807991
310,0.029526679,0.366551862,-0.053644314,,,0.083170993
311,0.031410759,0.347393793,-0.046497568,,,0.077908327
312,0.033294728,0.029412873,-0.044242188,,,0.077536916
313,0.035178578,-0.30644839,-0.047090724,,,0.082269302
314,0.037062303,0.137579487,-0.043192953,,,0.080255256
315,0.038945897,-0.386146728,-0.047260568,,,0.086206465
316,0.040829352,-0.108680728,-0.047080055,,,0.087909407
317,0.042712662,0.454118732,-0.038394213,,,0.081106875
318,0.044595821,0.322148084,-0.0318086,,,0.076404421
319,0.04647882,0.506850908,-0.022492871,,,0.068971691
320,0.048361655,-0.440685381,-0.027709797,,,0.076071452
321,0.050244318,0.320185797,-0.021282941,,,0.071527259
322,0.052126803,-0.072307841,-0.020915344,,,0.073042147
323,0.054009102,-0.157704761,-0.021852896,,,0.075861998
324,0.055891209,-0.955605651,-0.034894675,,,0.090785884
325,0.057773118,-0.05559702,-0.034083679,,,0.091856797
326,0.059654821,0.016734079,-0.032186717,,,0.091841538
327,0.061536313,-0.046690546,-0.03127794,,,0.092814253
328,0.063417586,-0.444482021,-0.036414206,,,0.099831792
329,0.065298633,0.501309053,-0.0271312,,,0.092429833
330,0.067179449,0.848091975,-0.012664482,,,0.079843931
331,0.069060026,0.008064859,-0.011190951,,,0.080250977
332,0.070940357,-0.613673651,-0.01922074,,,0.090161097
333,0.072820437,0.392733908,-0.011790663,,,0.0846111
334,0.074700257,-0.582377709,-0.019334003,,,0.09403426
335,0.076579813,-0.927412156,-0.031993836,,,0.108573649
336,0.078459096,-0.341782031,-0.035562903,,,0.114021999
337,0.0803381,0.031472345,-0.033422485,,,0.113760585
338,0.082216819,-1.41661316,-0.053204134,,,0.135420953
339,0.084095246,0.696459744,-0.040786907,,,0.124882153
340,0.085973374,-0.60242591,-0.048156932,,,0.134130306
341,0.087851197,0.023858741,-0.045963332,,,0.133814529
342,0.089728707,0.704022343,-0.03350246,,,0.123231167
343,0.091605899,-0.230472971,-0.03536208,,,0.126967979
344,0.093482765,0.382220485,-0.027900442,,,0.121383207
345,0.095359299,0.514487482,-0.018512338,,,0.113871637
346,0.097235494,-0.161346439,-0.019539937,,,0.116775431
347,0.099111344,-0.955261775,-0.032618538,,,0.131729882
348,0.100986841,0.564368744,-0.022418365,,,0.123405206
349,0.10286198,0.475614088,-0.013685778,,,0.116547758
350,0.104736753,0.274888027,-0.008123413,,,0.112860166
351,0.106611154,-0.048873846,-0.007582501,,,0.114193655
352,0.108485177,-0.831118011,-0.018985257,,,0.127470434
353,0.110358813,-0.95556034,-0.032078385,,,0.142437198
354,0.112232058,-0.669075271,-0.04060179,,,0.152833848
355,0.114104904,0.166170422,-0.036353841,,,0.150458745
356,0.115977345,-0.03912351,-0.035272896,,,0.151250241
357,0.117849373,-0.726938116,-0.044616506,,,0.162465879
358,0.119720983,0.192318494,-0.039922118,,,0.159643101
359,0.121592167,-0.629032225,-0.047708198,,,0.169300365
360,0.12346292,0.813865532,-0.03356488,,,0.1570278
361,0.125333234,1.082288271,-0.01546593,,,0.140799164
362,0.127203102,0.532201628,-0.005949348,,,0.13315245
363,0.129072518,0.537414211,0.003536299,,,0.125536219
364,0.130941476,0.03444715,0.005191371,,,0.125750105
365,0.132809969,-0.90704764,-0.007590845,,,0.140400814
366,0.134677989,-0.430625154,-0.012887463,,,0.147565452
367,0.136545532,-0.301747566,-0.016137272,,,0.152682804
368,0.138412589,-0.597883153,-0.023845837,,,0.162258426
369,0.140279154,-0.300613474,-0.026913747,,,0.167192901
370,0.142145221,-0.155105294,-0.027725622,,,0.169870843
371,0.144010783,0.015884957,-0.025927499,,,0.169938282
372,0.145875833,-0.155006929,-0.02675195,,,0.172627783
373,0.147740364,0.098016031,-0.023718119,,,0.171458483
374,0.149604371,-0.827796785,-0.034789219,,,0.18439359
375,0.151467847,-0.391882427,-0.039074093,,,0.19054194
376,0.153330784,0.82668086,-0.024817541,,,0.178148325
377,0.155193176,-0.746224172,-0.034633055,,,0.189826231
378,0.157055017,0.170786363,-0.030391097,,,0.187446114
379,0.1589163,0.581792819,-0.019950151,,,0.178866451
380,0.160777018,-0.004835035,-0.018573388,,,0.179350406
381,0.162637165,-0.948653542,-0.031569168,,,0.194206333
382,0.164496734,-0.083850485,-0.031232998,,,0.195729732
383,0.166355719,-0.151258867,-0.031924382,,,0.198280101
384,0.168214113,1.317687742,-0.010246634,,,0.178460747
385,0.170071909,0.124732995,-0.007023469,,,0.177095378
386,0.1719291,0.115689451,-0.003981441,,,0.175910541
387,0.173785681,0.412043258,0.003559262,,,0.170226419
388,0.175641644,0.163781692,0.00719735,,,0.168444294
389,0.177496984,-0.166476577,0.005720124,,,0.17177686
390,0.179351692,-0.132135416,0.004790664,,,0.174561028
391,0.181205764,0.053392637,0.006719053,,,0.174486711
392,0.183059191,-0.065705175,0.00679411,,,0.176265081
393,0.184911968,-0.236581903,0.004247993,,,0.180663975
394,0.186764088,1.295901957,0.02527836,,,0.161485728
395,0.188615545,1.622790034,0.051149219,,,0.137466326
396,0.190466331,-0.471169941,0.04432869,,,0.146137641
397,0.192316441,0.506192651,0.052711889,,,0.139604552
398,0.194165867,0.164487528,0.055696949,,,0.138468918
399,0.196014604,-0.023411545,0.05573307,,,0.140281534
400,0.197862644,1.327170182,0.076690212,,,0.121172432
401,0.199709981,-0.17506942,0.074078605,,,0.125631376
402,0.201556608,0.220040725,0.07762979,,,0.123926818
403,0.203402519,-0.647346719,0.067684844,,,0.135717675
404,0.205247708,-1.37899723,0.046574026,,,0.158673682
405,0.207092167,1.061866658,0.063529581,,,0.143562586
406,0.20893589,-0.361417165,0.058222041,,,0.150713849
407,0.210778872,-0.297904922,0.053975031,,,0.156803841
408,0.212621104,-0.002535225,0.054358408,,,0.158262696
409,0.21446258,-1.531398448,0.031123519,,,0.183339061
410,0.216303295,-1.64183469,0.006617144,,,0.209686151
411,0.218143241,0.08192246,0.008958265,,,0.209184976
412,0.219982413,-0.516710717,0.002086505,,,0.217895908
413,0.221820802,-0.017482067,0.002965719,,,0.218855083
414,0.223658403,0.359947588,0.009621248,,,0.214037155
415,0.22549521,0.995494385,0.02597104,,,0.19952417
416,0.227331216,-0.0661439,0.025767311,,,0.201563905
417,0.229166413,-0.537900109,0.018307075,,,0.210859338
418,0.231000797,-0.248026326,0.015415817,,,0.21558498
419,0.23283436,0.120493025,0.018230394,,,0.214603966
420,0.234667095,-0.237192172,0.015506744,,,0.219160351
421,0.236498997,-0.991604259,0.001251906,,,0.235247091
422,0.238330058,-0.483901626,-0.004996642,,,0.2433267
423,0.240160273,-0.597615397,-0.012882784,,,0.253043057
424,0.241989634,-0.225851266,-0.014975443,,,0.256965077
425,0.243818136,-0.79532031,-0.025705948,,,0.269524084
426,0.245645771,-0.284023511,-0.028493896,,,0.274139667
427,0.247472534,0.349690483,-0.021608308,,,0.269080842
428,0.249298417,-0.249399074,-0.023930982,,,0.273229399
429,0.251123414,0.60084294,-0.013270408,,,0.264393822
430,0.252947519,0.884050721,0.001607031,,,0.251340488
431,0.254770726,-0.636460695,-0.006979689,,,0.261750415
432,0.256593027,0.37290168,-1.64E-06,,,0.256594667
433,0.258414416,1.135339202,0.018599495,,,0.239814921
434,0.260234888,0.464452288,0.026665971,,,0.233568917
435,0.262054434,0.102056936,0.02904366,,,0.233010774
436,0.26387305,-0.844537408,0.016816437,,,0.247056613
437,0.265690728,0.227311612,0.02125521,,,0.244435518
438,0.267507462,-0.217564572,0.018789068,,,0.248718394
439,0.269323246,0.570878862,0.028492764,,,0.240830482
440,0.271138072,-0.938437284,0.014831692,,,0.25630638
441,0.272951936,-0.233610281,0.012212932,,,0.260739004
442,0.274764829,-0.084079278,0.011928305,,,0.262836524
443,0.276576746,0.07014074,0.01401633,,,0.262560416
444,0.278387681,0.179778146,0.01776126,,,0.260626421
445,0.280197626,-0.896906949,0.004918724,,,0.275278902
446,0.282006576,0.51638324,0.01395236,,,0.268054216
447,0.283814524,0.36987248,0.020621672,,,0.263192852
448,0.285621463,0.679719141,0.031980589,,,0.253640874
449,0.287427388,0.23720373,0.036370441,,,0.251056947
450,0.289232291,0.488007712,0.04457505,,,0.244657241
451,0.291036167,0.481793943,0.052577615,,,0.238458552
452,0.292839008,0.634951914,0.062847167,,,0.229991841
453,0.29464081,-0.382697605,0.057220206,,,0.237420604
454,0.296441564,0.616240812,0.067139715,,,0.229301849
455,0.298241265,1.727349716,0.094167545,,,0.20407372
456,0.300039906,0.042121981,0.094677418,,,0.205362488
