Time,Ground Truth,Noised Signal,Model Output
8.5E-05,-0.047070393,-0.157082627,-0.02905719
8.6E-05,-0.047236617,-0.165263894,-0.029622059
8.7E-05,-0.047402674,-0.130024071,-0.030211031
8.8E-05,-0.047568562,-0.14326298,-0.030649431
8.9E-05,-0.047734281,-0.215788281,-0.031133123
9E-05,-0.04789983,-0.222263306,-0.031962395
9.1E-05,-0.048065209,-0.202687255,-0.032792218
9.2E-05,-0.048230418,-0.186856231,-0.033533443
9.3E-05,-0.048395455,-0.115257186,-0.034177676
9.4E-05,-0.04856032,-0.217324179,-0.034508895
9.5E-05,-0.048725013,-0.160527951,-0.035312012
9.6E-05,-0.048889532,-0.108795591,-0.035862856
9.7E-05,-0.049053878,-0.253572583,-0.03615889
9.8E-05,-0.049218049,-0.236991609,-0.037107043
9.9E-05,-0.049382046,-0.272165385,-0.037979346
1E-04,-0.049545867,-0.168166151,-0.03899898
0.000101,-0.049709512,-0.12275767,-0.039530355
0.000102,-0.04987298,-0.18362085,-0.039883286
0.000103,-0.050036272,-0.116982865,-0.040479973
0.000104,-0.050199385,-0.120179788,-0.040786896
0.000105,-0.05036232,-0.253956007,-0.04109918
0.000106,-0.050525076,-0.130480763,-0.042018496
0.000107,-0.050687653,-0.185855197,-0.042396761
0.000108,-0.05085005,-0.238843328,-0.043004651
0.000109,-0.051012265,-0.080266929,-0.043855339
0.00011,-0.0511743,-0.147165095,-0.043981742
0.000111,-0.051336153,-0.159491155,-0.044420149
0.000112,-0.051497823,-0.115582712,-0.044908572
0.000113,-0.051659311,-0.13714678,-0.04519821
0.000114,-0.051820615,-0.110176218,-0.045564782
0.000115,-0.051981734,-0.135636289,-0.0458306
0.000116,-0.052142669,-0.162793632,-0.04619658
0.000117,-0.052303419,-0.178179118,-0.046680532
0.000118,-0.052463983,-0.151826411,-0.047230288
0.000119,-0.052624361,-0.127461447,-0.04766681
0.00012,-0.052784551,-0.18181765,-0.047988936
0.000121,-0.052944554,-0.060046234,-0.04853943
0.000122,-0.053104369,-0.126244782,-0.048560418
0.000123,-0.053263995,-0.043532306,-0.04884468
0.000124,-0.053423432,-0.128501011,-0.048759926
0.000125,-0.053582679,-0.169838989,-0.049100608
0.000126,-0.053741736,-0.153460274,-0.049622357
0.000127,-0.053900602,-0.096374392,-0.050065562
0.000128,-0.054059276,-0.18292854,-0.050216272
0.000129,-0.054217759,-0.215298101,-0.050768591
0.00013,-0.054376048,-0.105127189,-0.051486731
0.000131,-0.054534145,-0.18815452,-0.051669527
0.000132,-0.054692047,-0.163956948,-0.052216165
0.000133,-0.054849756,-0.093049827,-0.05268161
0.000134,-0.055007269,-0.1670491,-0.052826017
0.000135,-0.055164587,-0.188095593,-0.053305499
0.000136,-0.055321709,-0.134999152,-0.053867981
0.000137,-0.055478634,-0.218255185,-0.054170143
0.000138,-0.055635363,-0.225870038,-0.054874949
0.000139,-0.055791893,-0.198275767,-0.05558373
0.00014,-0.055948226,-0.154588059,-0.056172803
0.000141,-0.056104359,-0.118065088,-0.056557387
0.000142,-0.056260294,-0.071794096,-0.056768715
0.000143,-0.056416028,-0.150903054,-0.056766041
0.000144,-0.056571562,-0.336769286,-0.057143748
0.000145,-0.056726895,-0.004185681,-0.058360189
0.000146,-0.056882026,-0.063164046,-0.058087673
0.000147,-0.057036956,-0.139163624,-0.058067389
0.000148,-0.057191682,-0.141380264,-0.058368377
0.000149,-0.057346206,-0.116427425,-0.05869912
0.00015,-0.057500525,-0.121182977,-0.058911979
0.000151,-0.057654641,-0.175611945,-0.059133351
0.000152,-0.057808551,-0.129918739,-0.059613518
0.000153,-0.057962256,-0.061194199,-0.05989866
0.000154,-0.058115755,-0.096653935,-0.059861563
0.000155,-0.058269048,-0.022205649,-0.059967071
0.000156,-0.058422134,-0.10035894,-0.059762631
0.000157,-0.058575012,-0.18621616,-0.059880145
0.000158,-0.058727682,-0.148832397,-0.060392447
0.000159,-0.058880143,-0.163671434,-0.060736176
0.00016,-0.059032395,-0.134589114,-0.061140142
0.000161,-0.059184437,-0.135424056,-0.061409593
0.000162,-0.059336269,-0.009115377,-0.061679132
0.000163,-0.059487891,-0.15988075,-0.061388131
0.000164,-0.0596393,-0.068127978,-0.061767559
0.000165,-0.059790498,-0.003777232,-0.061787188
0.000166,-0.059941484,-0.070521019,-0.06147448
0.000167,-0.060092256,-0.175776794,-0.061434999
0.000168,-0.060242815,-0.032098882,-0.061892867
0.000169,-0.06039316,-0.145208683,-0.061697751
0.00017,-0.060543291,-0.090037907,-0.062009349
0.000171,-0.060693206,-0.126747918,-0.062099479
0.000172,-0.060842906,-0.157166577,-0.0623089
0.000173,-0.060992389,-0.132100981,-0.062686637
0.000174,-0.061141656,-0.09216714,-0.062948637
0.000175,-0.061290705,-0.120574867,-0.063043699
0.000176,-0.061439537,-0.118314233,-0.063273251
0.000177,-0.061588151,-0.111228607,-0.063469097
0.000178,-0.061736545,-0.114115777,-0.063637368
0.000179,-0.06188472,-0.288856529,-0.063798144
0.00018,-0.062032676,-0.018577796,-0.064766929
0.000181,-0.062180411,-0.111506375,-0.064476728
0.000182,-0.062327925,-0.139818854,-0.064642049
0.000183,-0.062475217,-0.061431593,-0.064913832
0.000184,-0.062622288,-0.07875591,-0.064887375
0.000185,-0.062769136,-0.110001976,-0.064887755
0.000186,-0.062915761,-0.047511596,-0.06503547
0.000187,-0.063062163,-0.022001537,-0.064905703
0.000188,-0.06320834,-0.117954075,-0.064656511
0.000189,-0.063354293,-0.086920507,-0.064854272
0.00019,-0.063500021,-0.063910636,-0.064909369
0.000191,-0.063645523,-0.26336412,-0.064857513
0.000192,-0.063790799,0.003788749,-0.065709025
0.000193,-0.063935849,-0.035317366,-0.065291256
0.000194,-0.064080671,-0.073592226,-0.065076426
0.000195,-0.064225265,-0.068973933,-0.065050974
0.000196,-0.064369632,0.002125024,-0.065003023
0.000197,-0.064513769,0.009102242,-0.06462954
0.000198,-0.064657678,-0.082097371,-0.064240485
0.000199,-0.064801356,0.021239152,-0.064288363
0.0002,-0.064944805,-0.126624527,-0.063864358
0.000201,-0.065088023,-0.18591604,-0.064115539
0.000202,-0.065231009,-0.02809156,-0.064644381
0.000203,-0.065373764,0.020047084,-0.06444221
0.000204,-0.065516286,0.02133254,-0.064013146
0.000205,-0.065658576,-0.102986424,-0.063605741
0.000206,-0.065800632,-0.051971184,-0.06372501
0.000207,-0.065942454,-0.072425923,-0.063648403
0.000208,-0.066084043,0.008927323,-0.063647926
0.000209,-0.066225396,-0.090151608,-0.063283734
0.00021,-0.066366514,-0.00982457,-0.063338444
0.000211,-0.066507396,0.017187758,-0.063074403
0.000212,-0.066648042,-0.129118716,-0.06267406
0.000213,-0.066788452,0.049653601,-0.062949166
0.000214,-0.066928624,-0.042421549,-0.06240996
0.000215,-0.067068558,0.013765486,-0.062274627
0.000216,-0.067208253,-0.01809778,-0.061840273
0.000217,-0.06734771,-0.052818364,-0.061597172
0.000218,-0.067486928,-0.052227128,-0.061476119
0.000219,-0.067625906,-0.200839258,-0.061369985
0.00022,-0.067764644,0.017304707,-0.061973058
0.000221,-0.067903141,-0.105704856,-0.061563276
0.000222,-0.068041396,-0.027737396,-0.061706286
0.000223,-0.06817941,-0.04079494,-0.061476626
0.000224,-0.068317182,-0.110554842,-0.061329968
0.000225,-0.068454711,-0.000957887,-0.061480433
0.000226,-0.068591996,-0.060590872,-0.06117161
0.000227,-0.068729038,-0.041099212,-0.061101198
0.000228,-0.068865836,-0.138797314,-0.060952652
0.000229,-0.069002389,-0.068113773,-0.061248183
0.00023,-0.069138697,-0.05881022,-0.061243184
0.000231,-0.069274759,-0.061826044,-0.061210938
0.000232,-0.069410575,0.05857532,-0.061174154
0.000233,-0.069546145,-0.046419503,-0.060592093
0.000234,-0.069681467,-0.093000461,-0.06046994
0.000235,-0.069816542,-0.030047708,-0.060542397
0.000236,-0.069951369,0.031686252,-0.060367845
0.000237,-0.070085947,-0.115262954,-0.059901208
0.000238,-0.070220276,-0.167259658,-0.060077652
0.000239,-0.070354356,-0.027771248,-0.060526446
0.00024,-0.070488185,0.039214503,-0.06031464
0.000241,-0.070621765,-0.112612286,-0.059818503
0.000242,-0.070755093,0.003604549,-0.059996039
0.000243,-0.07088817,-0.009160912,-0.059655301
0.000244,-0.071020995,0.129849655,-0.059384268
0.000245,-0.071153568,-0.052906894,-0.058477096
0.000246,-0.071285888,-0.022342267,-0.058427509
0.000247,-0.071417954,0.036289121,-0.058225177
0.000248,-0.071549767,0.01526963,-0.05775208
0.000249,-0.071681326,-0.076271358,-0.057406582
0.00025,-0.07181263,-0.020811397,-0.057466216
0.000251,-0.071943679,0.008505927,-0.057235628
0.000252,-0.072074472,-0.025626606,-0.05690277
0.000253,-0.072205009,0.105747558,-0.056721956
0.000254,-0.072335289,-0.016911152,-0.055955835
0.000255,-0.072465313,-0.03142516,-0.055691876
0.000256,-0.072595079,0.091134502,-0.055547968
0.000257,-0.072724587,0.025303256,-0.054822981
0.000258,-0.072853837,-0.016034525,-0.05441089
0.000259,-0.072982828,-0.149229256,-0.054180764
0.00026,-0.073111559,0.047032442,-0.054554723
0.000261,-0.073240031,0.054934936,-0.054067332
0.000262,-0.073368243,0.019840958,-0.053506516
0.000263,-0.073496194,0.051994184,-0.05312632
0.000264,-0.073623884,-0.059657723,-0.052619062
0.000265,-0.073751312,-0.043399498,-0.052601635
0.000266,-0.073878478,0.135220131,-0.052504696
0.000267,-0.074005382,-0.010846758,-0.051613852
0.000268,-0.074132022,-0.000445742,-0.051371641
0.000269,-0.0742584,0.043304531,-0.051092204
0.00027,-0.074384513,0.01721315,-0.050634257
0.000271,-0.074510362,0.025052696,-0.050276101
0.000272,-0.074635947,0.013337344,-0.049894758
0.000273,-0.074761266,-0.012916786,-0.049551733
0.000274,-0.074886319,0.078248797,-0.04938148
0.000275,-0.075011107,-0.034685822,-0.048774183
0.000276,-0.075135628,0.08880813,-0.048650116
0.000277,-0.075259882,0.000529238,-0.047972046
0.000278,-0.075383869,-0.01924523,-0.047709443
0.000279,-0.075507587,0.047074391,-0.047569051
0.00028,-0.075631038,0.139742203,-0.047114227
0.000281,-0.07575422,-0.085398938,-0.046246707
0.000282,-0.075877132,0.03176953,-0.0463828
0.000283,-0.075999776,0.001734517,-0.045994982
0.000284,-0.076122149,0.038282494,-0.045732737
0.000285,-0.076244251,-0.060994931,-0.045327518
0.000286,-0.076366083,-0.077956468,-0.045356583
0.000287,-0.076487643,0.145364933,-0.045440268
0.000288,-0.076608932,0.055888681,-0.044559412
0.000289,-0.076729948,0.031375828,-0.044089165
0.00029,-0.076850692,-0.03303811,-0.0437367
0.000291,-0.076971162,0.072183641,-0.043661058
0.000292,-0.07709136,0.031644632,-0.043111689
0.000293,-0.077211283,0.068571012,-0.042754121
0.000294,-0.077330932,0.082771509,-0.042219855
0.000295,-0.077450306,0.038465831,-0.041615162
0.000296,-0.077569405,0.192958895,-0.041216955
0.000297,-0.077688228,-0.016523489,-0.04009831
0.000298,-0.077806776,0.063927118,-0.039972544
0.000299,-0.077925047,0.074189241,-0.039459933
0.0003,-0.078043041,0.00747283,-0.038944945
0.000301,-0.078160757,0.070710648,-0.038705483
0.000302,-0.078278197,0.014223011,-0.038163166
0.000303,-0.078395357,0.020697931,-0.037877616
0.000304,-0.07851224,0.045104043,-0.037552375
0.000305,-0.078628843,-0.103187224,-0.037148282
0.000306,-0.078745167,-0.054145551,-0.037414614
0.000307,-0.078861212,0.096903951,-0.03744106
0.000308,-0.078976976,0.039935175,-0.03684061
0.000309,-0.079092459,0.031686976,-0.03644
0.00031,-0.079207661,-0.031409499,-0.036068674
0.000311,-0.079322582,0.02383019,-0.036054328
0.000312,-0.079437222,0.105316613,-0.035750952
0.000313,-0.079551578,0.018614602,-0.035100318
0.000314,-0.079665653,0.02571949,-0.034835525
0.000315,-0.079779444,-0.067060648,-0.034526445
0.000316,-0.079892952,0.025958859,-0.034639385
0.000317,-0.080006176,-0.032933097,-0.03434911
0.000318,-0.080119115,-0.056462269,-0.034296356
0.000319,-0.08023177,0.053459228,-0.03435123
0.00032,-0.08034414,0.109259865,-0.033957362
0.000321,-0.080456224,-0.014392445,-0.033303976
0.000322,-0.080568023,-0.024126094,-0.033184662
0.000323,-0.080679535,-0.026971935,-0.033138528
0.000324,-0.080790761,0.034635071,-0.033065807
0.000325,-0.080901699,-0.078240795,-0.03275137
0.000326,-0.081012351,0.00100442,-0.032970186
0.000327,-0.081122714,-0.079108869,-0.032755494
0.000328,-0.081232789,0.145502669,-0.032948192
0.000329,-0.081342575,-0.03581218,-0.032128043
0.00033,-0.081452073,-0.033848034,-0.032104205
0.000331,-0.081561281,0.037111162,-0.032093462
0.000332,-0.081670199,0.107089901,-0.031771369
0.000333,-0.081778827,0.055597356,-0.031148091
0.000334,-0.081887164,0.077536851,-0.030727495
0.000335,-0.081995211,-0.044117273,-0.030200467
0.000336,-0.082102966,-0.105403044,-0.030258151
0.000337,-0.08221043,-0.044693707,-0.030578841
0.000338,-0.082317601,0.04177441,-0.030602293
0.000339,-0.08242448,0.019740587,-0.03023926
0.00034,-0.082531066,0.013784311,-0.030000944
0.000341,-0.082637359,-0.052833127,-0.029804088
0.000342,-0.082743358,0.044912675,-0.029873222
0.000343,-0.082849063,-0.079972671,-0.029519755
0.000344,-0.082954474,0.02406325,-0.029725321
0.000345,-0.08305959,-0.010735792,-0.029452864
0.000346,-0.083164411,-0.057193709,-0.029355034
0.000347,-0.083268936,-0.035141477,-0.02942834
0.000348,-0.083373166,0.024654213,-0.029405564
0.000349,-0.083477099,-0.059423499,-0.02911824
0.00035,-0.083580736,-0.013754257,-0.029201599
0.000351,-0.083684076,0.088622422,-0.029102638
0.000352,-0.083787118,0.06436378,-0.028538091
0.000353,-0.083889863,-0.035788306,-0.028094884
0.000354,-0.08399231,0.003188168,-0.028114155
0.000355,-0.084094458,-0.147536189,-0.027936539
0.000356,-0.084196308,-0.017428327,-0.028454173
0.000357,-0.084297858,-0.025941229,-0.028378468
0.000358,-0.084399109,0.001914252,-0.028338484
0.000359,-0.08450006,-0.057667796,-0.028171375
0.00036,-0.084600711,-0.056653749,-0.028284643
0.000361,-0.084701061,0.000328295,-0.028392334
0.000362,-0.08480111,-0.074169394,-0.028247524
0.000363,-0.084900858,-0.103523192,-0.028405765
0.000364,-0.085000304,0.101660066,-0.028730843
0.000365,-0.085099448,-0.153924352,-0.028104516
0.000366,-0.08519829,-0.096574539,-0.028628888
0.000367,-0.085296829,0.092390983,-0.028930489
0.000368,-0.085395065,0.09899948,-0.02836008
0.000369,-0.085492998,0.050332784,-0.027802838
0.00037,-0.085590627,-0.014483081,-0.027378598
0.000371,-0.085687952,-0.0687455,-0.027293881
0.000372,-0.085784972,-0.134550443,-0.027450521
0.000373,-0.085881687,-0.124639406,-0.027911909
0.000374,-0.085978098,-0.052782949,-0.028327376
0.000375,-0.086074203,-0.029495743,-0.028410321
0.000376,-0.086170002,-0.12765656,-0.028391685
0.000377,-0.086265495,-0.025212851,-0.028800435
0.000378,-0.086360681,-0.004844426,-0.028745946
0.000379,-0.086455561,-0.06808286,-0.028588329
0.00038,-0.086550133,-0.073262812,-0.028747607
0.000381,-0.086644398,-0.08943202,-0.028911699
0.000382,-0.086738355,-0.093319013,-0.029177159
0.000383,-0.086832004,-0.080504837,-0.029426074
0.000384,-0.086925344,0.015685275,-0.029623542
0.000385,-0.087018375,-0.172107889,-0.029399749
0.000386,-0.087111098,-0.070363215,-0.030046917
0.000387,-0.08720351,-0.153424534,-0.030164473
0.000388,-0.087295613,-0.055339952,-0.030714987
0.000389,-0.087387406,-0.036679439,-0.030788403
0.00039,-0.087478888,-0.04188481,-0.030762121
0.000391,-0.08757006,-0.108841146,-0.030774897
0.000392,-0.08766092,-0.043793576,-0.03110097
0.000393,-0.087751469,-0.116730466,-0.031106507
0.000394,-0.087841706,-0.059172679,-0.031434827
0.000395,-0.087931631,-0.022088466,-0.031518038
0.000396,-0.088021244,0.04004923,-0.031473402
0.000397,-0.088110543,-0.040273653,-0.031129869
0.000398,-0.08819953,0.005164927,-0.031147998
0.000399,-0.088288203,-0.154688195,-0.030956389
0.0004,-0.088376563,-0.079789511,-0.031491287
0.000401,-0.088464609,-0.091659074,-0.031679451
0.000402,-0.08855234,-0.106226563,-0.031936992
0.000403,-0.088639757,-0.118398918,-0.032232601
0.000404,-0.088726858,-0.219727079,-0.032603763
0.000405,-0.088813645,-0.129420324,-0.03344157
0.000406,-0.088900116,-0.02590583,-0.033844262
0.000407,-0.088986271,-0.105904554,-0.033788651
0.000408,-0.08907211,-0.080191967,-0.034059659
0.000409,-0.089157632,-0.160138787,-0.034268152
0.00041,-0.089242838,-0.263694943,-0.034775853
0.000411,-0.089327726,-0.091217395,-0.035795823
0.000412,-0.089412298,-0.006737827,-0.036017273
0.000413,-0.089496551,-0.114962579,-0.03584069
0.000414,-0.089580486,-0.082881772,-0.03616504
0.000415,-0.089664104,-0.108667784,-0.036331244
0.000416,-0.089747402,0.005353062,-0.036599766
0.000417,-0.089830382,-0.163835301,-0.036370877
0.000418,-0.089913043,-0.196089076,-0.03693407
0.000419,-0.089995384,-0.113268302,-0.037635013
0.00042,-0.090077405,-0.16389892,-0.037956715
0.000421,-0.090159106,-0.060980063,-0.038503185
0.000422,-0.090240487,-0.029820955,-0.038577069
0.000423,-0.090321548,-0.107819962,-0.03848223
0.000424,-0.090402287,-0.199105754,-0.038774185
0.000425,-0.090482705,-0.097386417,-0.039457884
0.000426,-0.090562802,-0.246670816,-0.039693136
0.000427,-0.090642577,-0.115651338,-0.040586755
0.000428,-0.09072203,-0.057067392,-0.040894888
0.000429,-0.09080116,-0.078216471,-0.040906429
0.00043,-0.090879968,-0.103005273,-0.041038211
0.000431,-0.090958453,-0.160810395,-0.041291919
0.000432,-0.091036615,-0.210044157,-0.041818552
0.000433,-0.091114453,-0.195521406,-0.04251631
0.000434,-0.091191968,-0.137942612,-0.043165196
0.000435,-0.091269159,-0.203628456,-0.043556225
0.000436,-0.091346025,-0.120792012,-0.044239137
0.000437,-0.091422567,-0.154346806,-0.044535056
0.000438,-0.091498784,-0.174858716,-0.045019373
0.000439,-0.091574676,-0.106289144,-0.045558676
0.00044,-0.091650242,-0.160252888,-0.045782819
0.000441,-0.091725483,-0.189513975,-0.046270527
0.000442,-0.091800398,-0.112474242,-0.046906985
0.000443,-0.091874987,-0.134827653,-0.047156919
0.000444,-0.091949249,-0.125882138,-0.047511198
0.000445,-0.092023185,-0.154472639,-0.047823943
0.000446,-0.092096793,-0.129702967,-0.048253454
0.000447,-0.092170075,-0.179647061,-0.04861369
0.000448,-0.092243029,-0.32842795,-0.049172621
0.000449,-0.092315655,-0.125794123,-0.050407447
0.00045,-0.092387953,-0.204399224,-0.050728969
0.000451,-0.092459923,-0.187920661,-0.051386885
0.000452,-0.092531565,-0.169043764,-0.051964477
0.000453,-0.092602877,-0.135651098,-0.052433468
0.000454,-0.092673861,-0.082233411,-0.052763827
0.000455,-0.092744515,-0.159393804,-0.052868988
0.000456,-0.09281484,-0.231093922,-0.053323813
0.000457,-0.092884835,-0.221935062,-0.054062195
0.000458,-0.0929545,-0.26086106,-0.054792233
0.000459,-0.093023835,-0.185558744,-0.055676252
0.00046,-0.093092839,-0.089731809,-0.05621903
0.000461,-0.093161513,-0.118246154,-0.0563186
0.000462,-0.093229855,-0.195615533,-0.056562841
0.000463,-0.093297867,-0.231008467,-0.057150573
0.000464,-0.093365546,-0.123924192,-0.05791596
0.000465,-0.093432894,-0.056201394,-0.058163814
0.000466,-0.09349991,-0.243284113,-0.058080412
0.000467,-0.093566594,-0.195115047,-0.058890462
0.000468,-0.093632945,-0.089150048,-0.059466641
0.000469,-0.093698964,-0.144899024,-0.059565388
0.00047,-0.09376465,-0.047027053,-0.059867226
0.000471,-0.093830003,-0.279600815,-0.059753902
0.000472,-0.093895022,-0.193786381,-0.060677618
0.000473,-0.093959707,-0.197646428,-0.061243467
0.000474,-0.094024059,-0.230192301,-0.06185
0.000475,-0.094088077,-0.175832301,-0.062585525
0.000476,-0.09415176,-0.178571504,-0.063033164
0.000477,-0.094215109,-0.19506389,-0.063504636
0.000478,-0.094278123,-0.098522016,-0.064092271
0.000479,-0.094340802,-0.298633708,-0.064187139
0.00048,-0.094403146,-0.251749331,-0.065202974
0.000481,-0.094465155,-0.171160427,-0.06597513
0.000482,-0.094526828,-0.168194295,-0.066422753
0.000483,-0.094588165,-0.141819111,-0.066818111
0.000484,-0.094649166,-0.090688812,-0.067120813
0.000485,-0.09470983,-0.217478799,-0.067181259
0.000486,-0.094770159,-0.109350418,-0.067805864
0.000487,-0.09483015,-0.187769358,-0.067907646
0.000488,-0.094889805,-0.180902662,-0.068408966
0.000489,-0.094949122,-0.043634921,-0.068866715
0.00049,-0.095008102,-0.165199113,-0.068702124
0.000491,-0.095066744,-0.193367114,-0.069073066
0.000492,-0.095125049,-0.267008453,-0.069554612
0.000493,-0.095183016,-0.219824175,-0.070434302
0.000494,-0.095240644,-0.225339049,-0.07104487
0.000495,-0.095297934,-0.242488707,-0.071687676
0.000496,-0.095354886,-0.251144718,-0.072427019
0.000497,-0.095411498,-0.254392926,-0.073162489
0.000498,-0.095467772,-0.179842343,-0.073928863
0.000499,-0.095523706,-0.189766153,-0.07432837
0.0005,-0.095579301,-0.210556874,-0.074790955
0.000501,-0.095634557,-0.139421064,-0.075363651
0.000502,-0.095689473,-0.13860482,-0.07558506
0.000503,-0.095744048,-0.133289562,-0.075810246
0.000504,-0.095798284,-0.22162568,-0.076005027
0.000505,-0.095852179,-0.205681621,-0.076615751
0.000506,-0.095905733,-0.258848965,-0.077139348
0.000507,-0.095958947,-0.15040451,-0.077887952
0.000508,-0.09601182,-0.235643714,-0.078139544
0.000509,-0.096064352,-0.178657658,-0.078810059
0.00051,-0.096116542,-0.249679794,-0.079188392
0.000511,-0.096168391,-0.208872794,-0.07990846
0.000512,-0.096219898,-0.294756234,-0.080395982
0.000513,-0.096271064,-0.230730296,-0.08130461
0.000514,-0.096321887,-0.139554492,-0.081918597
0.000515,-0.096372368,-0.2143848,-0.082113244
0.000516,-0.096422506,-0.140163735,-0.082679614
0.000517,-0.096472302,-0.185964254,-0.082876757
0.000518,-0.096521756,-0.218897473,-0.083263084
0.000519,-0.096570866,-0.275055575,-0.083827503
0.00052,-0.096619633,-0.152058862,-0.08462929
0.000521,-0.096668057,-0.230388632,-0.084885836
0.000522,-0.096716137,-0.124785019,-0.085468024
0.000523,-0.096763874,-0.158936818,-0.085590549
0.000524,-0.096811267,-0.182686294,-0.085855693
0.000525,-0.096858316,-0.249226806,-0.086244494
0.000526,-0.096905021,-0.174658425,-0.086911216
0.000527,-0.096951381,-0.258069729,-0.087245941
0.000528,-0.096997398,-0.08078803,-0.087931521
0.000529,-0.097043069,-0.313501802,-0.087814257
0.00053,-0.097088396,-0.136445124,-0.088729918
0.000531,-0.097133377,-0.198023467,-0.08884874
0.000532,-0.097178014,-0.269704491,-0.089268692
0.000533,-0.097222305,-0.191039345,-0.090026215
0.000534,-0.097266251,-0.221081355,-0.090429179
0.000535,-0.097309851,-0.164825127,-0.090954229
0.000536,-0.097353106,-0.282626962,-0.091229312
