,signal,deniosed,model_output
34,0.844327925502015,0.8349277024821801,[-0.00082058]
35,0.8090169943749475,1.754982326210373,[-0.0015393]
36,0.7705132427757893,1.1304013766207894,[-0.00049985]
37,0.7289686274214114,1.6854833002393739,[-0.00115747]
38,0.6845471059286888,1.3020250665382131,[-0.00055338]
39,0.6374239897486899,0.5073370210003594,[-0.00094558]
40,0.5877852522924732,0.1136278467327383,[-0.00193704]
41,0.535826794978997,0.36718960704734394,[-0.00228602]
42,0.4817536741017156,-0.3250800775588528,[-0.00208271]
43,0.4257792915650729,0.1173675433638291,[-0.00237323]
44,0.36812455268467814,0.7849775535106337,[-0.00228364]
45,0.3090169943749475,0.37994393330340814,[-0.00160331]
46,0.24868988716485482,-0.3240902195265022,[-0.00207037]
47,0.18738131458572502,1.0977359924304861,[-0.00237358]
48,0.12533323356430454,-1.5021703079403304,[-0.00119913]
49,0.06279051952931358,-0.11313421358261,[6.940216e-05]
50,1.2246467991473532e-16,-0.08575147093668811,[-0.00238008]
51,-0.06279051952931335,-0.4668544685622802,[-0.00237394]
52,-0.12533323356430429,-2.141287629933019,[-0.0023087]
53,-0.18738131458572477,-0.2164984175082143,[0.00361805]
54,-0.24868988716485502,-0.07175330135321309,[-0.00238938]
55,-0.30901699437494773,0.5337591179541241,[-0.00237025]
56,-0.3681245526846783,-0.5453333183979018,[-0.00190742]
57,-0.42577929156507227,-1.2390325921114105,[-0.0022502]
58,-0.481753674101715,-1.245978940519096,[-0.00089703]
59,-0.5358267949789964,-0.06617081295601149,[-0.00087509]
60,-0.587785252292473,-1.0795003316526102,[-0.00236864]
61,-0.6374239897486896,-0.5643721154567044,[-0.00135387]
62,-0.6845471059286887,-0.41819633853908605,[-0.00223345]
63,-0.7289686274214113,-0.7011902761200447,[-0.00233666]
64,-0.7705132427757894,-2.0319031630190674,[-0.00208191]
65,-0.8090169943749473,-1.0430884099721727,[0.00288405]
66,-0.8443279255020153,-1.0747836824399917,[-0.00144515]
67,-0.8763066800438636,-0.7485235694821507,[-0.00136606]
68,-0.9048270524660198,-0.6495166949824187,[-0.00201652]
69,-0.9297764858882511,-1.9835795416025648,[-0.00214572]
70,-0.9510565162951535,-0.7785825040093547,[0.00257682]
71,-0.968583161128631,-1.348029645325496,[-0.00197125]
72,-0.9822872507286887,-1.3638795467380085,[-0.00052977]
73,-0.9921147013144778,-0.4754249655112025,[-0.00047252]
74,-0.9980267284282716,-1.1529275726949773,[-0.00230322]
75,-1.0,-0.6863417697872695,[-0.00115529]
76,-0.9980267284282716,-2.0450164796317676,[-0.00210107]
77,-0.9921147013144779,-2.2152036210816206,[0.00296929]
78,-0.9822872507286887,-1.5458286787170712,[0.00414448]
79,-0.9685831611286311,-1.0986544389792818,[0.00025644]
80,-0.9510565162951536,-1.0924931281563302,[-0.00130404]
81,-0.9297764858882512,-0.033190342634881506,[-0.00132016]
82,-0.9048270524660199,-1.6912881163361166,[-0.00235785]
83,-0.8763066800438638,-0.3032137553604372,[0.00093677]
84,-0.8443279255020155,-0.5530442954947653,[-0.00237883]
85,-0.8090169943749476,-0.022647251856719855,[-0.00224353]
86,-0.7705132427757896,-0.7936612643409962,[-0.00235403]
87,-0.7289686274214116,-0.14338286850886772,[-0.0019475]
88,-0.684547105928689,-0.9570682891243518,[-0.00238515]
89,-0.6374239897486896,-0.6157954817863992,[-0.00164226]
90,-0.5877852522924734,0.8398256742223786,[-0.00218291]
91,-0.5358267949789963,-0.8376943696028718,[-0.00153304]
92,-0.4817536741017153,-0.3634588581499928,[-0.00187386]
93,-0.4257792915650722,0.7056748388541783,[-0.00236077]
94,-0.3681245526846787,-1.1458766242588019,[-0.00170297]
95,-0.3090169943749477,-0.3830761782502185,[-0.0011752]
96,-0.24868988716485535,0.39556668920213356,[-0.00235305]
97,-0.18738131458572468,0.34494384644799847,[-0.00205494]
98,-0.12533323356430465,0.5919778215093723,[-0.00210399]
99,-0.06279051952931326,-0.0927866612872611,[-0.00184042]
100,-2.4492935982947064e-16,0.5156317082902532,[-0.00237561]
101,0.06279051952931278,0.9614972596374112,[-0.00192792]
102,0.12533323356430418,1.9253511909845362,[-0.00137538]
103,0.1873813145857242,-0.07553593374657108,[-0.0003984]
104,0.24868988716485488,0.09215282300379768,[-0.00237126]
105,0.3090169943749472,0.7964584946153671,[-0.00229884]
106,0.3681245526846782,1.4172806527234751,[-0.00158871]
107,0.42577929156507255,0.5712121484433412,[-0.00081349]
108,0.48175367410171566,-0.041809286679017704,[-0.00186474]
109,0.5358267949789967,0.7740348332381293,[-0.00236089]
110,0.5877852522924736,-0.01349227313350132,[-0.0016172]
111,0.63742398974869,0.734429298538118,[-0.00235046]
112,0.6845471059286893,1.0320166709119445,[-0.00166703]
113,0.7289686274214106,0.6712670447316345,[-0.00128377]
114,0.7705132427757887,1.1522735576068335,[-0.00174541]
115,0.8090169943749468,1.7664948581394266,[-0.00112963]
116,0.8443279255020147,1.1640623582876042,[-0.00049169]
117,0.8763066800438631,1.3517953330287473,[-0.00111491]
118,0.9048270524660194,1.3028453336391486,[-0.00088728]
119,0.9297764858882511,1.1190259395898106,[-0.00094462]
120,0.9510565162951535,1.341968113746735,[-0.00117195]
121,0.968583161128631,1.1037028382003664,[-0.00089867]
122,0.9822872507286886,0.12352083992650224,[-0.00119156]
123,0.9921147013144778,0.9996161613006452,[-0.00227977]
124,0.9980267284282716,-0.04272554709526455,[-0.00132585]
125,1.0,0.3797822647731065,[-0.00236119]
126,0.9980267284282716,0.10930706418161762,[-0.00207049]
127,0.9921147013144779,1.7552262038352124,[-0.00228865]
128,0.9822872507286886,0.9152783464465744,[-0.00049979]
129,0.9685831611286311,0.4169754788560692,[-0.00143541]
130,0.9510565162951536,0.8180177819580904,[-0.00203324]
131,0.9297764858882517,-0.5104432767427893,[-0.00156111]
132,0.9048270524660192,0.7703745682727344,[-0.00227825]
133,0.8763066800438634,0.9593653478814339,[-0.00162179]
134,0.8443279255020151,1.2052175337091127,[-0.00137819]
135,0.8090169943749476,0.563350467758109,[-0.00106329]
136,0.7705132427757886,0.7400628860713097,[-0.00187374]
137,0.728968627421411,0.5598474402451271,[-0.00166006]
138,0.6845471059286897,0.8350675276448077,[-0.00187773]
139,0.6374239897486911,0.4808016588710126,[-0.00153918]
140,0.5877852522924734,-0.21530159652104766,[-0.00196601]
141,0.5358267949789972,-0.6188841215321347,[-0.00238938]
142,0.4817536741017162,-0.5519818756243363,[-0.00217963]
143,0.42577929156507394,0.8017975920954129,[-0.00224454]
144,0.368124552684678,-1.4284977505858643,[-0.00158191]
145,0.3090169943749478,-0.5955183294098959,[-0.0002288]
146,0.2486898871648555,0.48347347171302646,[-0.00220374]
147,0.18738131458572568,0.42989182242038837,[-0.00196321]
148,0.1253332335643039,0.3812156121116919,[-0.00202001]
149,0.06279051952931339,0.7315290317288391,[-0.00206906]
150,3.6739403974420594e-16,-0.08781310157054553,[-0.00167079]
151,-0.06279051952931265,-0.4480415141932049,[-0.00237442]
152,-0.12533323356430318,0.16340292992096278,[-0.00232036]
153,-0.18738131458572496,-0.04779830833510637,[-0.00225348]
154,-0.24868988716485477,1.4713398396439183,[-0.00236285]
155,-0.30901699437494706,-0.37612879972310154,[-0.00075508]
156,-0.36812455268467725,0.09733144518537445,[-0.00235588]
157,-0.42577929156507327,0.03672664914161039,[-0.00229574]
158,-0.48175367410171555,-0.6013199948853447,[-0.0023284]
159,-0.5358267949789965,-0.14822502139403218,[-0.0021979]
160,-0.5877852522924728,-0.8660663746896736,[-0.0023858]
161,-0.6374239897486905,-0.4686600374186776,[-0.00182322]
162,-0.6845471059286892,0.1605688913023557,[-0.00230757]
163,-0.7289686274214106,0.29202407795994656,[-0.00225539]
164,-0.770513242775788,-0.34178125983332397,[-0.00215209]
165,-0.8090169943749472,-0.9535947755616354,[-0.00236834]
166,-0.8443279255020146,-1.1940915505002894,[-0.00164966]
167,-0.876306680043863,-0.14532075651430815,[-0.00103525]
168,-0.9048270524660189,-0.9361302143481574,[-0.00238539]
169,-0.9297764858882513,-0.9858025483229536,[-0.00168631]
170,-0.9510565162951534,-1.3352961143741908,[-0.00157923]
171,-0.968583161128631,-1.8394252782998908,[-0.00057504]
172,-0.9822872507286885,-1.0910890938066633,[0.00172164]
173,-0.9921147013144779,-1.3601136386638635,[-0.00132392]
174,-0.9980267284282716,-1.1576737182790122,[-0.0004862]
175,-1.0,0.25452054791287887,[-0.00114176]
176,-0.9980267284282716,-0.8130839877750105,[-0.00218392]
177,-0.992114701314478,-0.6256627285208518,[-0.00191585]
178,-0.9822872507286886,0.32806553592447857,[-0.00217236]
179,-0.9685831611286312,-1.518783025935988,[-0.00211967]
180,-0.9510565162951538,0.22045534845622022,[0.00013959]
181,-0.9297764858882517,-0.6899420078635495,[-0.00221128]
182,-0.9048270524660192,-0.13950077926087412,[-0.00209651]
183,-0.8763066800438635,-1.4711644717239527,[-0.00238461]
184,-0.8443279255020152,-0.7719810114657968,[-5.877763e-05]
185,-0.8090169943749477,0.455279536534279,[-0.00198141]
186,-0.7705132427757886,-1.0096014107745725,[-0.00199343]
187,-0.7289686274214111,-1.371055914778365,[-0.00152493]
188,-0.6845471059286897,-0.5319983340035578,[-0.00044627]
189,-0.6374239897486912,0.2767004558534489,[-0.00226135]
190,-0.5877852522924735,-0.21286247504321607,[-0.00216527]
191,-0.5358267949789973,-0.5762395103825435,[-0.0023895]
192,-0.4817536741017163,-0.3306734887209897,[-0.00222246]
193,-0.42577929156507405,0.26565332469050185,[-0.00237174]
194,-0.3681245526846781,-1.7080765211641813,[-0.00217474]
195,-0.3090169943749479,-0.7564849878807616,[0.00102093]
196,-0.2486898871648556,0.39991403490188643,[-0.00200472]
197,-0.1873813145857258,0.1101180959437428,[-0.00205047]
198,-0.125333233564304,0.8209650604279719,[-0.00228811]
199,-0.06279051952931351,-0.6925336183347126,[-0.0015573]
200,-4.898587196589413e-16,-0.5941209896387663,[-0.00209314]
201,0.06279051952931075,-0.8168038706691172,[-0.00220511]
202,0.12533323356430304,0.3881360777936699,[-0.00190956]
203,0.1873813145857231,0.5224603709329386,[-0.00206227]
204,0.24868988716485466,-0.7912169111953622,[-0.00192017]
205,0.30901699437494523,0.4721170883910353,[-0.00195137]
206,0.36812455268467714,0.24536889085746327,[-0.00197548]
207,0.42577929156507155,0.6778123917336076,[-0.00219143]
208,0.48175367410171543,0.16694302579974182,[-0.00173736]
209,0.535826794978995,0.5409481375021884,[-0.00225086]
210,0.5877852522924727,1.3939136891349444,[-0.00189937]
211,0.6374239897486891,1.3375399070808196,[-0.00083936]
212,0.6845471059286891,0.23537047943953793,[-0.00090385]
213,0.7289686274214104,0.6584670531482844,[-0.0021996]
214,0.7705132427757891,1.9100155865841497,[-0.00176109]
215,0.8090169943749471,0.8097231252911479,[-0.00040562]
216,0.8443279255020155,0.4421828426286586,[-0.00157166]
217,0.876306680043863,1.9594995610498542,[-0.00200725]
218,0.9048270524660196,0.5909454680055239,[-0.00038356]
219,0.9297764858882513,2.1536058148543207,[-0.00184161]
220,0.951056516295154,0.7081540527448281,[-0.00033892]
221,0.9685831611286309,0.7339666515780454,[-0.00169993]
222,0.9822872507286888,0.8503617168413726,[-0.00166775]
223,0.9921147013144779,1.2907484566058325,[-0.00151951]
224,0.9980267284282717,0.7184513172077021,[-0.00095905]
225,1.0,1.6709267372406584,[-0.00168718]
226,0.9980267284282718,1.6094713475170381,[-0.00056548]
227,0.992114701314478,1.5971623956098544,[-0.00061894]
228,0.9822872507286889,0.9310149373475299,[-0.00063033]
229,0.9685831611286312,1.568186974846473,[-0.00141496]
230,0.9510565162951543,0.6236432083556115,[-0.00065751]
231,0.9297764858882518,0.32432977264451957,[-0.00180293]
232,0.9048270524660201,1.3401013182250878,[-0.00212307]
233,0.8763066800438635,1.1278377696136432,[-0.00090087]
234,0.8443279255020162,1.5571077790436858,[-0.00116069]
235,0.8090169943749478,2.473893403249823,[-0.00066818]
236,0.7705132427757898,-0.6073902031967936,[-0.0004319]
237,0.7289686274214111,0.41059814044849063,[-0.0021917]
238,0.6845471059286898,0.6643748248166146,[-0.00203986]
239,0.6374239897486899,0.48749772570913436,[-0.00175381]
240,0.5877852522924736,-0.3119536801899854,[-0.00195891]
241,0.5358267949789959,1.1135562984255971,[-0.00237668]
242,0.48175367410171643,0.9669742709195999,[-0.00117899]
243,0.42577929156507255,0.5491351259786214,[-0.00136817]
244,0.3681245526846782,-0.21125624323337702,[-0.00189001]
245,0.3090169943749463,0.9571714442700574,[-0.0023895]
246,0.2486898871648557,0.1610300089402577,[-0.00138093]
247,0.18738131458572418,0.8494778379400605,[-0.00225503]
248,0.12533323356430415,0.4591796124269723,[-0.00152064]
249,0.06279051952931186,-0.13817456665553277,[-0.00198931]
250,6.123233995736766e-16,-0.061455784382743656,[-0.00238449]
251,-0.06279051952931064,-0.039207889765372386,[-0.00236721]
252,-0.12533323356430293,1.613494614220414,[-0.00236005]
253,-0.18738131458572296,-0.018977668531167224,[-0.00061537]
254,-0.24868988716485452,-0.13750380184981267,[-0.0023526]
255,-0.3090169943749451,-1.015697880800126,[-0.00238437]
256,-0.3681245526846787,-1.9608236872016476,[-0.00151078]
257,-0.42577929156506983,0.312447894169453,[0.00243577]
258,-0.4817536741017153,-0.3190308036180289,[-0.00213391]
259,-0.5358267949789963,-0.8835083979034926,[-0.00237489]
260,-0.5877852522924726,0.22709466270070774,[-0.00179065]
261,-0.637423989748689,-1.2857806406629746,[-0.00220609]
262,-0.6845471059286876,-1.5510781943049403,[-0.00074518]
263,-0.7289686274214103,-1.0186399676164033,[0.00027945]
264,-0.7705132427757901,-1.8531712848278796,[-0.00150383]
265,-0.809016994374946,-1.8441722409066552,[0.00179934]
266,-0.8443279255020155,-1.0335651189522908,[0.00174823]
267,-0.8763066800438638,-1.0217139570484575,[-0.00146831]
268,-0.9048270524660196,-1.640443417605621,[-0.00149656]
269,-0.9297764858882513,-1.3746637496296823,[0.00068878]
270,-0.9510565162951534,-0.11587790940947093,[-0.00043301]
271,-0.9685831611286309,-1.2571973434816723,[-0.00238068]
272,-0.982287250728689,-1.9470040740169525,[-0.000839]
273,-0.9921147013144777,-0.39834920542865476,[0.00235122]
274,-0.9980267284282717,-0.9488784794643871,[-0.00234634]
275,-1.0,-2.3729049517841068,[-0.0016597]
276,-0.9980267284282718,-0.40262254531725983,[0.00535049]
277,-0.9921147013144778,-1.1403465606571275,[-0.00234441]
278,-0.9822872507286894,-1.2226918204992727,[-0.00119082]
279,-0.9685831611286312,-0.6442143137408063,[-0.0009482]
280,-0.9510565162951538,-1.0091239055916208,[-0.00215171]
281,-0.9297764858882518,-1.3223601692637732,[-0.00152607]
282,-0.9048270524660201,-1.4940178061586524,[-0.00062037]
283,-0.8763066800438645,-1.8178047447761851,[3.5189092e-05]
284,-0.8443279255020162,-1.2471958526207443,[0.00160112]
285,-0.8090169943749468,-0.543088892230848,[-0.00087113]
286,-0.770513242775791,-1.1614670288579376,[-0.00225208]
287,-0.7289686274214113,-0.38385924188545073,[-0.00113089]
288,-0.6845471059286886,-1.5679219518755936,[-0.00235266]
289,-0.63742398974869,-1.0448667157897384,[0.00035401]
290,-0.5877852522924737,-0.4231769565536567,[-0.00144086]
291,-0.5358267949789975,-1.3636709965440519,[-0.00233416]
292,-0.48175367410171654,-0.4649472290873578,[-0.0004733]
293,-0.42577929156507105,-1.263641117438606,[-0.00231002]
294,-0.36812455268468,0.13705063330953307,[-0.00081805]
295,-0.3090169943749464,-0.5634679703141938,[-0.00227112]
296,-0.2486898871648541,-0.08810190721813407,[-0.00223423]
297,-0.1873813145857243,-1.1696504596389368,[-0.00237454]
298,-0.12533323356430426,0.4135809857766892,[-0.00110734]
299,-0.06279051952931375,-0.7642569744687708,[-0.00203676]
300,-7.347880794884119e-16,0.6359391140276015,[-0.00199322]
301,0.06279051952931229,0.8115879637481882,[-0.00178827]
302,0.12533323356430282,1.4157425341153522,[-0.00156928]
303,0.18738131458572285,0.20383233226291297,[-0.0008151]
304,0.24868988716485269,0.5393370176082735,[-0.0022241]
305,0.309016994374945,0.8224747949740067,[-0.00190122]
306,0.3681245526846786,0.6935740642693402,[-0.00155533]
307,0.4257792915650697,0.48524065241147446,[-0.00171787]
308,0.4817536741017152,-0.16319420008328916,[-0.0019613]
309,0.5358267949789963,1.1676240939361842,[-0.00238741]
310,0.5877852522924725,0.20204627370480882,[-0.00111044]
311,0.6374239897486889,1.1266829000811842,[-0.00222547]
312,0.6845471059286876,1.0058930374642303,[-0.00116218]
313,0.7289686274214102,2.2592408408249263,[-0.00131763]
314,0.7705132427757901,0.7835619342292274,[-0.00034518]
315,0.8090169943749459,1.7895225395995136,[-0.00160504]
316,0.8443279255020154,2.0761175339000624,[-0.00047577]
317,0.8763066800438637,1.4243136727721208,[-0.00034846]
318,0.9048270524660195,1.6828854831240736,[-0.00080562]
319,0.9297764858882512,2.3151764495403233,[-0.00055546]
320,0.9510565162951533,1.6170538416070293,[-0.00035799]
321,0.9685831611286309,0.7728484445909378,[-0.00061221]
322,0.982287250728689,1.4984081610844109,[-0.00161869]
323,0.9921147013144777,2.0712159184422223,[-0.00072695]
324,0.9980267284282717,1.290929456199708,[-0.00034935]
325,1.0,1.3804409188476372,[-0.00095875]
326,0.9980267284282718,2.1440633979655765,[-0.00085456]
327,0.9921147013144778,1.5829442323079201,[-0.0003394]
328,0.9822872507286894,1.2109390409175105,[-0.00064356]
329,0.9685831611286312,0.6297000477869316,[-0.00105626]
330,0.9510565162951539,0.693383270977816,[-0.00179578]
331,0.9297764858882518,0.29510726273240906,[-0.00171823]
332,0.9048270524660201,1.1248381324429086,[-0.00214935]
333,0.8763066800438645,0.666564878969053,[-0.00116444]
334,0.8443279255020163,2.0278816200494676,[-0.00175113]
335,0.8090169943749469,1.1233042809804041,[-0.00036002]
336,0.7705132427757911,1.6708926731664042,[-0.00116653]
337,0.7289686274214113,2.2504922608284788,[-0.00056542]
338,0.6845471059286887,0.4440007725596633,[-0.00034381]
339,0.6374239897486901,1.7705258738558505,[-0.00200523]
340,0.5877852522924738,1.666108330744401,[-0.00048888]
341,0.5358267949789977,0.061000865138790356,[-0.00056947]
342,0.48175367410171666,0.12323228556280325,[-0.00231607]
343,0.42577929156507116,1.137053446661954,[-0.00228]
344,0.3681245526846801,0.2935772594853002,[-0.00114901]
345,0.30901699437494656,0.5376428158046389,[-0.00215072]
346,0.24868988716485424,-0.8213337302092626,[-0.00190306]
347,0.1873813145857244,-1.4270299840589669,[-0.00190196]
348,0.1253332335643044,-0.36429068275143694,[-0.00023455]
349,0.06279051952931387,0.465581920676071,[-0.00236053]
350,8.572527594031472e-16,-0.8450474584380054,[-0.00198252]
351,-0.06279051952931217,-0.6353233485964539,[-0.00186095]
352,-0.12533323356430268,-1.0861158810407936,[-0.00216172]
353,-0.18738131458572274,0.2548787945288398,[-0.00133679]
354,-0.24868988716485257,-1.6682033533640825,[-0.00218374]
355,-0.3090169943749449,-0.6966775258196811,[0.00082283]
356,-0.3681245526846785,-0.7281274800105515,[-0.00208781]
357,-0.4257792915650696,-0.28306356767256263,[-0.00204543]
358,-0.4817536741017151,-1.3902263409883258,[-0.00238276]
359,-0.5358267949789962,-0.8250890549386616,[-0.00037513]
360,-0.5877852522924725,-1.2786158230362374,[-0.00189555]
361,-0.6374239897486887,-1.9208241254760277,[-0.00076888]
362,-0.6845471059286875,-1.2682401357497026,[0.00219338]
363,-0.7289686274214102,-1.898419443542348,[-0.00080309]
364,-0.77051324277579,-0.9871645903298789,[0.00206064]
365,-0.8090169943749459,-1.3899496285677513,[-0.00157628]
366,-0.8443279255020154,-0.018545048401231723,[-0.00037617]
367,-0.8763066800438637,-1.75237388217456,[-0.00235242]
368,-0.9048270524660195,-0.5453958378312641,[0.00124901]
369,-0.9297764858882512,-0.9746267703974112,[-0.00225017]
370,-0.9510565162951533,-2.332130103068346,[-0.00160406]
371,-0.9685831611286309,-0.8231683698948493,[0.00502785]
372,-0.982287250728689,-0.23840976467927788,[-0.0018988]
373,-0.9921147013144775,-1.486181842852906,[-0.00238837]
374,-0.9980267284282717,-1.2891425660793836,[2.82377e-06]
375,-1.0,-1.7465873259954163,[-0.00073389]
376,-0.9980267284282718,-0.7530003953596851,[0.0012187]
377,-0.9921147013144778,-1.641411943358238,[-0.00200991]
378,-0.9822872507286894,-1.0330763671595309,[0.00069346]
379,-0.9685831611286313,-2.008124953611631,[-0.00146944]
380,-0.9510565162951539,0.20861348421766923,[0.00273164]
381,-0.9297764858882519,-1.1199133297100803,[-0.00222052]
382,-0.9048270524660202,-0.951825449563557,[-0.00124703]
383,-0.8763066800438646,-1.1642614430517373,[-0.00165341]
384,-0.8443279255020163,-2.21905461913499,[-0.00112296]
385,-0.8090169943749469,-1.8670932226437764,[0.00417259]
386,-0.7705132427757913,-0.8058597691270097,[0.0018787]
387,-0.7289686274214114,-0.16047507592202143,[-0.00192774]
388,-0.6845471059286888,-1.712604909705973,[-0.00238723]
389,-0.6374239897486902,-1.860184856914806,[0.00104394]
390,-0.5877852522924739,0.21735080083007197,[0.00183912]
391,-0.5358267949789978,0.20986240157283234,[-0.00221372]
392,-0.4817536741017167,-0.7943366886690104,[-0.00221951]
393,-0.42577929156507127,0.1560538642748608,[-0.00194637]
394,-0.3681245526846802,-0.629999614884656,[-0.00225849]
395,-0.3090169943749467,0.31123371789597926,[-0.00216756]
396,-0.24868988716485435,0.007230355197859282,[-0.00213511]
397,-0.18738131458572455,0.6175384052446635,[-0.00234193]
398,-0.1253332335643045,-0.12499669494348936,[-0.00181014]
399,-0.062790519529314,1.220230254978498,[-0.00238229]
400,-9.797174393178826e-16,-0.0879526388227598,[-0.0010447]
401,0.06279051952931204,0.5469296735822713,[-0.00237448]
402,0.12533323356429904,0.9032026343303723,[-0.00189257]
403,0.1873813145857261,1.304271127138028,[-0.00145114]
404,0.24868988716485246,1.81059460109354,[-0.00094301]
405,0.3090169943749448,1.5196526652124116,[-0.00046188]
406,0.36812455268467503,0.718254096708849,[-0.00070519]
407,0.4257792915650727,1.1338686178297237,[-0.00168736]
408,0.48175367410171505,0.7554412833949317,[-0.00115306]
409,0.5358267949789961,1.0258231937900362,[-0.00164068]
410,0.5877852522924695,1.7824334909112798,[-0.00129182]
411,0.6374239897486914,0.7717090001736833,[-0.0004806]
412,0.6845471059286874,0.5159538426564768,[-0.00162018]
413,0.7289686274214101,2.0289454987528344,[-0.00192738]
414,0.7705132427757877,1.299192756156374,[-0.00035972]
415,0.8090169943749479,1.278272885361806,[-0.00094897]
416,0.8443279255020153,1.6308127994926989,[-0.00097395]
417,0.8763066800438636,0.8828051824777867,[-0.00059987]
418,0.9048270524660179,0.66027246332593,[-0.00147755]
419,0.9297764858882525,1.1547810017360955,[-0.00175876]
420,0.9510565162951533,1.5662831916619844,[-0.00112659]
421,0.9685831611286307,1.0334296031184143,[-0.00065941]
422,0.9822872507286884,1.0443441077154654,[-0.00128204]
423,0.992114701314478,1.3982695721021683,[-0.0012678]
424,0.9980267284282717,1.2715349223348025,[-0.00083447]
425,1.0,1.1100753574650686,[-0.00098217]
426,0.9980267284282718,0.929253620828074,[-0.0011834]
427,0.9921147013144783,0.29382997792306886,[-0.00141723]
428,0.9822872507286887,0.9427238482044902,[-0.00215054]
429,0.9685831611286313,0.31991659639360576,[-0.0013997]
430,0.9510565162951539,1.5546701197559851,[-0.00212712]
431,0.9297764858882532,1.3685247091886725,[-0.00067056]
432,0.9048270524660188,-0.12437089403927049,[-0.00086803]
433,0.8763066800438646,0.6478530497360129,[-0.00238217]
434,0.8443279255020164,0.31284956270103254,[-0.0017739]
435,0.8090169943749491,0.5904551209990189,[-0.00213356]
436,0.770513242775789,-0.24881884391863823,[-0.00184221]
437,0.7289686274214116,0.4025472542886929,[-0.00238735]
438,0.684547105928689,0.6412970842477633,[-0.00204802]
439,0.637423989748693,0.20975548149184314,[-0.00178183]
440,0.5877852522924711,0.7164302883391233,[-0.00221957]
441,0.5358267949789979,1.422991080125687,[-0.00168962]
442,0.4817536741017168,-0.07330998196929797,[-0.00080717]
443,0.4257792915650746,-0.033105385258680786,[-0.0023706]
444,0.368124552684677,-0.017831965535617278,[-0.00235779]
445,0.3090169943749468,0.03524781806938248,[-0.00235225]
446,0.24868988716485446,-0.5145079253985962,[-0.00232906]
447,0.18738131458572815,-0.15214382488465023,[-0.00227515]
448,0.1253332335643011,0.4402317814079585,[-0.00238628]
449,0.06279051952931412,-1.106341198282037,[-0.00200928]
450,1.102182119232618e-15,0.27849934641429847,[-0.00128359]
451,-0.06279051952931192,-0.6710396120446244,[-0.00216383]
452,-0.12533323356429893,0.05516258076052763,[-0.00212011]
453,-0.187381314585726,-0.8276936705513868,[-0.00231916]
454,-0.24868988716485232,-0.44373475891068326,[-0.00189114]
455,-0.3090169943749447,-0.7022050774417345,[-0.0023228]
456,-0.3681245526846749,-1.0197765147739017,[-0.0020806]
457,-0.4257792915650726,-1.4780431333396344,[-0.00150115]
458,-0.48175367410171493,-1.0144141365115353,[-3.0733645e-05]
459,-0.535826794978996,-0.2479325920803876,[-0.00151382]
460,-0.5877852522924694,-0.6594631816925056,[-0.00238753]
461,-0.6374239897486913,-1.0135312535256662,[-0.002134]
462,-0.6845471059286873,-0.9440443638768985,[-0.00151575]
463,-0.72896862742141,-0.6307656164449817,[-0.00166983]
464,-0.7705132427757876,-1.4677115939294456,[-0.00216682]
465,-0.8090169943749478,-0.7977941502617014,[-7.290393e-05]
466,-0.8443279255020152,-2.106899787218461,[-0.00194085]
467,-0.8763066800438636,-1.1779777556068654,[0.00338157]
468,-0.9048270524660178,-0.8059086946929191,[-0.00108302]
469,-0.9297764858882525,-0.4878429247187214,[-0.00192762]
470,-0.9510565162951532,-1.1967142066527277,[-0.00229467]
