ID,deniosed_signal,model_output,ground_truth
218,5.046377238,4.752639294,5.904827052
219,6.585495754,5.140841007,5.929776486
220,5.711721173,5.156428337,5.951056516
221,6.15940939,5.061620235,5.968583161
222,6.262273905,5.416041851,5.982287251
223,5.93294118,4.750350952,5.992114701
224,5.598358444,5.39074564,5.998026728
225,6.304137567,5.010838985,6
226,6.171574959,5.202807426,5.998026728
227,6.821851538,5.247963905,5.992114701
228,6.605922877,5.104551315,5.982287251
229,6.486948521,4.963948727,5.968583161
230,5.267710335,5.266403198,5.951056516
231,6.67104685,5.208132267,5.929776486
232,6.111777068,5.49477911,5.904827052
233,4.807394855,5.399770737,5.87630668
234,6.795853587,5.347168922,5.844327926
235,5.673928467,4.832727432,5.809016994
236,5.811276029,5.42851305,5.770513243
237,5.120087794,5.181991577,5.728968627
238,5.984780397,4.667136192,5.684547106
239,5.774343708,5.483393669,5.63742399
240,5.114375447,4.995110989,5.587785252
241,5.759657437,5.052680016,5.535826795
242,6.22768882,4.777245998,5.481753674
243,5.763990266,5.126871109,5.425779292
244,4.516396774,5.037090302,5.368124553
245,5.262779428,4.775140762,5.309016994
246,4.221715076,5.030910015,5.248689887
247,5.680832498,5.23275423,5.187381315
248,5.308601272,5.032732964,5.125333234
249,5.76459154,4.574753761,5.06279052
250,5.236588396,4.830839634,5
251,5.405590356,4.492141247,4.93720948
252,5.241611376,4.997977257,4.874666766
253,6.44156891,4.848457336,4.812618685
254,5.278201725,5.032987118,4.751310113
255,5.142093217,4.820857048,4.690983006
256,4.647373873,4.886356354,4.631875447
257,5.484211391,4.822768211,4.574220708
258,4.21834022,5.3270998,4.518246326
259,7.240040585,4.836748123,4.464173205
260,5.47363257,4.785383701,4.412214748
261,3.968476398,4.61506176,4.36257601
262,4.297144474,4.917655945,4.315452894
263,4.103481361,4.491262913,4.271031373
264,3.584200025,5.674316883,4.229486757
265,3.821972888,4.913412571,4.190983006
266,5.827044331,4.430550575,4.155672074
267,4.108917651,4.512196541,4.12369332
268,4.654455587,4.462277889,4.095172948
269,4.990472921,4.354578495,4.070223514
270,5.367352569,4.399051189,4.048943484
271,4.431411189,5.059360504,4.031416839
272,4.962442034,4.463605881,4.017712749
273,4.575504388,4.61730051,4.007885299
274,4.535326763,4.730327129,4.001973272
275,4.969933521,4.871316433,4
276,4.132538949,4.549759865,4.001973272
277,3.22897328,4.720412731,4.007885299
278,3.134608319,4.592679977,4.017712749
279,4.213532536,4.580447197,4.031416839
280,4.328180124,4.723052502,4.048943484
281,4.072145428,4.46943903,4.070223514
282,5.193962616,4.303843021,4.095172948
283,3.575072848,4.293577671,4.12369332
284,4.742459948,4.490014076,4.155672074
285,4.268251138,4.520664215,4.190983006
286,5.340678589,4.454681396,4.229486757
287,4.307539329,4.804747581,4.271031373
288,3.763681126,4.35303688,4.315452894
289,5.034676998,4.645635605,4.36257601
290,3.907625409,4.504422665,4.412214748
291,4.760679401,4.860898972,4.464173205
292,4.17560409,4.515019417,4.518246326
293,3.505298992,4.387382507,4.574220708
294,3.492770769,4.746131897,4.631875447
295,5.08065359,4.417096615,4.690983006
296,5.103478274,4.651620865,4.751310113
297,3.499973879,4.480265617,4.812618685
298,4.051019241,4.341670036,4.874666766
299,2.627743189,4.33970356,4.93720948
300,4.652010984,4.762785912,5
301,4.425268167,4.771136284,5.06279052
302,4.900082392,4.340827942,5.125333234
303,2.980838149,4.449645042,5.187381315
304,4.820360347,4.261969566,5.248689887
305,5.141256744,4.616528511,5.309016994
306,5.172839307,4.547990799,5.368124553
307,3.593779069,4.698664665,5.425779292
308,4.334646669,4.279791832,5.481753674
309,4.712238594,4.671486855,5.535826795
310,4.766862264,4.785073757,5.587785252
311,4.616393407,4.796830177,5.63742399
312,4.719169303,4.356208324,5.684547106
313,5.475500978,4.522445679,5.728968627
314,5.426748937,4.635800838,5.770513243
315,5.570710471,4.653660297,5.809016994
316,4.783239398,4.605333805,5.844327926
317,5.349159063,4.638049126,5.87630668
318,5.840182415,4.914161682,5.904827052
319,5.155507974,4.894729614,5.929776486
320,5.28420751,4.952649593,5.951056516
321,4.636279224,4.659081936,5.968583161
322,6.205863032,4.864206314,5.982287251
323,5.57194641,5.064936161,5.992114701
324,5.551690085,4.790366173,5.998026728
325,5.87831988,4.839054108,6
326,6.00427567,4.611564636,5.998026728
327,6.176127694,5.22316885,5.992114701
328,5.536544136,4.953153133,5.982287251
329,4.736738476,4.944905281,5.968583161
330,6.70702754,5.081171036,5.951056516
331,6.287711478,5.135293484,5.929776486
332,4.741054776,5.210128784,5.904827052
333,6.507006263,4.938760757,5.87630668
334,5.999264164,4.643768311,5.844327926
335,5.293195482,5.444367409,5.809016994
336,5.077817023,5.259163857,5.770513243
337,7.218828147,4.645180225,5.728968627
338,6.051711811,5.356042385,5.684547106
339,6.398862206,5.133123398,5.63742399
340,6.088707352,4.842514038,5.587785252
341,5.390978499,4.761753082,5.535826795
342,6.487387286,5.665420532,5.481753674
343,5.905897197,5.155845165,5.425779292
344,5.29227528,5.308220387,5.368124553
345,5.263922497,5.171935081,5.309016994
346,5.715110642,4.880594254,5.248689887
347,5.111508414,5.347364426,5.187381315
348,6.056169837,5.092959404,5.125333234
349,6.021125289,4.842158318,5.06279052
350,6.477796231,4.831279278,5
351,6.004924907,5.012252808,4.93720948
352,6.082037526,4.774088383,4.874666766
353,5.784073548,5.157782555,4.812618685
354,5.117642602,5.14258194,4.751310113
355,6.419769257,5.343122482,4.690983006
356,5.139683516,5.135570049,4.631875447
357,6.328068136,5.169029236,4.574220708
358,4.642391079,5.041189671,4.518246326
359,4.572055738,4.77634573,4.464173205
360,4.713977391,5.317461014,4.412214748
361,5.295227622,4.784489155,4.36257601
362,4.462398477,5.276957989,4.315452894
363,5.004294482,4.613490105,4.271031373
364,4.32156638,4.591621399,4.229486757
365,5.559287764,4.636363983,4.190983006
366,3.943382883,4.843297482,4.155672074
367,4.90376279,4.558767319,4.12369332
368,3.285828877,4.735244751,4.095172948
369,5.304422502,4.518847942,4.070223514
370,5.05694753,4.947995186,4.048943484
371,3.88804817,4.424936771,4.031416839
372,4.32932023,4.699934959,4.017712749
373,4.647463117,4.310676575,4.007885299
374,3.177186051,4.846842766,4.001973272
375,3.586365618,4.754174232,4
376,5.529017689,4.412877083,4.001973272
377,3.707313945,4.520978928,4.007885299
378,3.868476189,4.615092278,4.017712749
379,4.548348044,4.298043728,4.031416839
380,4.418886514,4.354944229,4.048943484
381,3.402769001,4.935713291,4.070223514
382,4.02278441,4.376568317,4.095172948
383,5.036177028,4.408714294,4.12369332
384,4.546456138,4.58439064,4.155672074
385,4.111153945,4.546156406,4.190983006
386,4.524571551,4.326282501,4.229486757
387,2.530461987,4.443000793,4.271031373
388,3.921275822,4.746672153,4.315452894
389,4.599297154,4.583816051,4.36257601
390,2.838164068,4.464156151,4.412214748
391,2.937802322,4.577207088,4.464173205
392,3.623823826,4.260467052,4.518246326
393,4.16290452,4.42006731,4.574220708
394,3.718357455,4.600018501,4.631875447
395,3.965425916,4.270262718,4.690983006
396,4.078941646,4.276584625,4.751310113
397,4.91382157,4.361411572,4.812618685
398,3.860269643,4.477046013,4.874666766
399,3.60508715,4.378651619,4.93720948
400,4.491691971,4.429860115,5
401,3.502063855,4.456319809,5.06279052
402,4.881746065,4.703415394,5.125333234
403,4.362244119,4.406988621,5.187381315
404,4.286998489,4.358151436,5.248689887
405,3.286217154,4.567392826,5.309016994
406,3.945583974,4.34115696,5.368124553
407,4.075692864,4.692346096,5.425779292
408,5.270287438,4.53011322,5.481753674
409,4.291708771,4.509450912,5.535826795
410,4.74122076,4.310727119,5.587785252
411,4.811767129,4.425425529,5.63742399
412,4.963372139,4.455536366,5.684547106
413,4.514176242,4.833714962,5.728968627
414,4.813448498,4.510724068,5.770513243
415,4.481930301,4.645234108,5.809016994
416,4.47038319,4.668601513,5.844327926
417,5.175998335,4.720740318,5.87630668
418,5.115994013,4.574092388,5.904827052
419,5.069979613,4.669166565,5.929776486
420,5.084539617,4.564507484,5.951056516
421,5.618319888,4.561109066,5.968583161
422,4.379285047,4.798014164,5.982287251
423,5.448991214,4.775738239,5.992114701
424,6.446144866,4.75890255,5.998026728
425,4.98053301,4.764206409,6
426,4.795388524,4.972144127,5.998026728
427,5.913310113,4.53489399,5.992114701
428,5.312857467,4.903571606,5.982287251
429,4.932139519,5.329125881,5.968583161
430,5.469554289,4.726799965,5.951056516
431,5.988644754,4.663125038,5.929776486
432,6.748601158,5.096133232,5.904827052
433,5.649877815,4.850102425,5.87630668
434,6.616861609,4.709790707,5.844327926
435,6.61808861,4.911782265,5.809016994
436,6.590405733,5.128536224,5.770513243
437,6.347936597,5.462656021,5.728968627
438,5.755648923,4.985153198,5.684547106
439,5.688871609,5.404601097,5.63742399
440,6.803351511,5.405145645,5.587785252
441,6.447633401,5.392916679,5.535826795
442,5.270694035,5.28572464,5.481753674
443,6.588895082,5.02922821,5.425779292
444,6.523732617,5.001318455,5.368124553
445,5.582000875,5.4866786,5.309016994
446,5.531385195,5.329781055,5.248689887
447,6.517179783,4.833870888,5.187381315
448,5.16939035,5.392249107,5.125333234
449,5.873953284,5.36343956,5.06279052
450,5.312639255,4.957257271,5
451,5.469829302,4.936670303,4.93720948
452,5.978490069,5.360541821,4.874666766
453,5.583845937,4.795544624,4.812618685
454,6.314063555,5.079308987,4.751310113
455,6.413820555,4.850021362,4.690983006
456,6.447821787,4.911889076,4.631875447
457,4.871177844,5.124154091,4.574220708
458,4.695858239,4.95800972,4.518246326
459,5.291207728,5.270780563,4.464173205
460,6.017024666,5.314834595,4.412214748
461,4.444771364,5.329864502,4.36257601
462,4.931644001,4.688726425,4.315452894
463,5.919663538,4.630517483,4.271031373
464,3.99946709,4.84174633,4.229486757
465,4.221236207,5.140807629,4.190983006
466,4.188352222,4.553630352,4.155672074
467,5.031189596,4.709617615,4.12369332
468,4.977316066,5.098856449,4.095172948
469,4.270977849,4.437605381,4.070223514
470,4.386193019,4.49202013,4.048943484
471,5.232730632,4.4835186,4.031416839
472,3.355755634,4.744877815,4.017712749
473,5.187572301,4.725659847,4.007885299
474,4.269827925,4.505150318,4.001973272
475,4.552648789,4.536844254,4
476,3.492600311,4.819391251,4.001973272
477,3.685959684,4.319760799,4.007885299
478,3.700707752,4.802348614,4.017712749
479,4.295400705,4.504844666,4.031416839
480,4.402843349,4.585696697,4.048943484
481,3.667378707,4.339675426,4.070223514
482,3.131746866,4.37259388,4.095172948
483,3.375104765,4.375332355,4.12369332
484,4.00799744,4.511720657,4.155672074
485,2.274800131,4.541570663,4.190983006
486,3.313605672,4.369189739,4.229486757
487,3.97563601,4.293289185,4.271031373
488,4.145936135,4.322404385,4.315452894
489,3.883145567,4.439569473,4.36257601
490,3.483564451,4.26356411,4.412214748
491,3.279828044,4.314198017,4.464173205
492,2.829357383,4.4321661,4.518246326
493,3.235939727,4.472775459,4.574220708
494,3.052601343,4.411827564,4.631875447
495,4.085338248,4.338274479,4.690983006
496,4.309659086,4.309932232,4.751310113
497,4.115941227,4.269775867,4.812618685
498,4.89608931,4.304650784,4.874666766
499,4.598984077,4.285774708,4.93720948
500,4.067841426,4.457862854,5
501,3.791590196,4.515594482,5.06279052
502,3.382836099,4.465332031,5.125333234
503,3.363747073,4.697282791,5.187381315
504,5.037900437,4.599919796,5.248689887
505,4.879632448,4.453652859,5.309016994
506,4.230861217,4.392907143,5.368124553
507,4.559661833,4.323478699,5.425779292
508,4.924201658,4.320847034,5.481753674
509,4.722599205,4.747292519,5.535826795
510,5.66023775,4.691623688,5.587785252
511,4.741979027,4.494532108,5.63742399
512,4.62569067,4.58783102,5.684547106
513,5.957522208,4.70702219,5.728968627
514,5.209158526,4.639163017,5.770513243
515,5.180541674,4.989439487,5.809016994
516,6.509416028,4.645477295,5.844327926
517,4.39068836,4.608242512,5.87630668
518,6.00865986,5.115120411,5.904827052
519,5.897412068,4.810473442,5.929776486
520,4.902070093,4.799712181,5.951056516
521,6.399285933,5.357108116,5.968583161
522,5.829874796,4.538115501,5.982287251
523,5.49930762,5.137185574,5.992114701
524,6.522708197,5.089327335,5.998026728
525,6.131330838,4.69934845,6
526,6.838207968,5.308407307,5.998026728
527,6.637188444,5.060562611,5.992114701
528,5.50364189,4.923722267,5.982287251
529,6.45270115,5.362989426,5.968583161
530,6.680288223,5.190527916,5.951056516
531,5.712920967,5.50193119,5.929776486
532,5.955520035,5.413578987,5.904827052
533,6.493130407,4.925467491,5.87630668
534,6.758325877,5.332025051,5.844327926
535,6.433515114,5.432587624,5.809016994
536,6.484574122,5.011339188,5.770513243
537,5.785043028,5.114256382,5.728968627
538,8.227289312,5.349903107,5.684547106
539,6.950388794,5.466924667,5.63742399
540,5.169732533,5.323538303,5.587785252
541,6.256804994,5.346120834,5.535826795
542,6.176528732,5.04159832,5.481753674
543,6.125150009,6.047245979,5.425779292
544,5.342822001,5.550765991,5.368124553
545,5.936961937,4.79567194,5.309016994
546,6.010776281,5.245554447,5.248689887
547,6.184655471,5.21030283,5.187381315
548,6.723820732,5.187829018,5.125333234
549,5.599076017,4.86173439,5.06279052
550,5.678500555,5.106278419,5
551,6.128795706,5.138101578,4.93720948
552,5.716403733,5.21386528,4.874666766
553,4.385997944,5.451757431,4.812618685
554,6.177259623,4.964244843,4.751310113
555,4.005656315,4.997011662,4.690983006
556,5.54380683,5.189419746,4.631875447
557,6.146138438,5.012793541,4.574220708
558,4.048607077,4.536791325,4.518246326
559,4.851130282,5.210623741,4.464173205
560,5.470302649,4.439030647,4.412214748
561,4.802615027,4.941703796,4.36257601
562,4.432031681,5.19700098,4.315452894
563,4.302241065,4.4490695,4.271031373
564,5.139852008,4.681889057,4.229486757
565,4.44372416,4.912081242,4.190983006
566,4.630501359,4.665539742,4.155672074
567,4.754494625,4.549942493,4.12369332
568,3.746699519,4.513576508,4.095172948
569,4.150249382,4.784554005,4.070223514
570,4.645019824,4.553327084,4.048943484
571,3.443255834,4.609749794,4.031416839
572,4.935908976,4.649586201,4.017712749
573,4.187849575,4.384075642,4.007885299
574,3.742839195,4.473861217,4.001973272
575,3.406980357,4.61431694,4
576,2.819467625,4.332169533,4.001973272
577,4.456762046,4.71110487,4.007885299
578,4.397109187,4.483392715,4.017712749
579,3.375229208,4.383327484,4.031416839
580,2.220823563,4.326886177,4.048943484
581,3.428385334,4.269245625,4.070223514
582,2.465953111,4.557121277,4.095172948
583,2.795058807,4.539939404,4.12369332
584,3.311593247,4.322422028,4.155672074
585,3.407125794,4.265524864,4.190983006
586,3.405197542,4.329979897,4.229486757
587,3.792327725,4.260285854,4.271031373
588,3.849271109,4.267999649,4.315452894
589,4.129364419,4.313937664,4.36257601
590,4.80122733,4.326907158,4.412214748
591,4.142338062,4.326629639,4.464173205
592,3.747938249,4.393055916,4.518246326
593,3.321988114,4.40468502,4.574220708
594,5.048932125,4.468649387,4.631875447
595,4.167329878,4.665072441,4.690983006
596,3.295851719,4.471880436,4.751310113
597,5.249724887,4.384314537,4.812618685
598,4.067055117,4.315282822,4.874666766
599,4.893108943,4.751273155,4.93720948
600,4.436876227,4.478164673,5
601,4.148496367,4.31193161,5.06279052
602,4.556499564,4.825857639,5.125333234
603,5.403421552,4.453462124,5.187381315
604,5.348862957,4.69625473,5.248689887
605,5.148622177,4.551341057,5.309016994
606,5.989446636,4.473419666,5.368124553
607,5.532242479,4.586866379,5.425779292
608,5.123962433,4.885499954,5.481753674
609,5.247082446,4.864087105,5.535826795
610,5.346264439,4.787807941,5.587785252
611,4.930058989,5.128882408,5.63742399
612,6.960152178,4.937017441,5.684547106
613,5.207037736,4.778674603,5.728968627
614,6.154149478,4.824850082,5.770513243
615,5.322180645,4.863074303,5.809016994
616,6.5357338,4.70906496,5.844327926
617,5.047213833,5.554993153,5.87630668
618,6.226533158,4.809672356,5.904827052
619,6.179969194,5.200505733,5.929776486
620,6.838895059,4.853713989,5.951056516
621,6.093671578,5.368747711,5.968583161
622,5.96631536,4.750652313,5.982287251
623,6.777100175,5.232244968,5.992114701
624,6.99601931,5.211812019,5.998026728
625,6.770850575,5.502233028,6
626,5.963527,5.174097538,5.998026728
627,6.777906434,5.118908882,5.992114701
628,7.136410638,5.475168228,5.982287251
629,6.590819908,5.570493698,5.968583161
630,5.345918899,5.472424507,5.951056516
631,6.409033704,5.117705822,5.929776486
632,6.997896806,5.475522995,5.904827052
633,6.325273173,5.630610466,5.87630668
634,5.850876755,5.393098354,5.844327926
635,5.613999467,4.862943649,5.809016994
636,5.268162253,5.312717438,5.770513243
637,6.42609793,5.571305752,5.728968627
638,7.165236729,5.275722504,5.684547106
639,5.186480587,5.069479465,5.63742399
640,6.019503956,4.970366955,5.587785252
641,6.044313395,4.83289957,5.535826795
642,5.888653816,5.320259094,5.481753674
643,5.858878559,5.642827511,5.425779292
644,5.818909968,4.801940441,5.368124553
645,5.463359991,5.141879082,5.309016994
646,5.872336836,5.152634621,5.248689887
647,5.880897931,5.085584641,5.187381315
648,4.796319549,5.072885036,5.125333234
649,4.264079314,5.055913925,5.06279052
650,5.573914298,4.909305573,5
651,5.564337277,5.078620434,4.93720948
652,5.0254322,5.082271099,4.874666766
653,5.704441473,4.663436413,4.812618685
654,4.766414042,4.503311157,4.751310113
655,4.851686262,4.95395422,4.690983006
656,4.678893475,4.950052261,4.631875447
657,4.361231211,4.742809296,4.574220708
658,3.342061305,5.007800102,4.518246326
659,4.635642287,4.653513432,4.464173205
660,3.719139791,4.682077408,4.412214748
661,3.482255009,4.625079155,4.36257601
662,5.035530759,4.529829025,4.315452894
663,4.724687821,4.317923069,4.271031373
664,3.649622864,4.611366272,4.229486757
665,4.498227156,4.378798008,4.190983006
666,4.324797443,4.338074684,4.155672074
667,3.486853824,4.746440887,4.12369332
668,4.876565207,4.63984251,4.095172948
669,4.800380474,4.36598587,4.070223514
670,3.552571503,4.569334984,4.048943484
671,3.834810379,4.51973629,4.031416839
672,2.778496666,4.338783264,4.017712749
673,3.934979718,4.690569401,4.007885299
674,4.687111875,4.664789677,4.001973272
675,3.818645564,4.349290848,4
676,3.726459259,4.401689053,4.001973272
677,3.876543632,4.267207623,4.007885299
678,3.749318206,4.423077583,4.017712749
679,3.215011266,4.627708435,4.031416839
680,3.633794615,4.39837265,4.048943484
681,3.915525166,4.380188942,4.070223514
682,3.925367307,4.410424232,4.095172948
683,4.347316467,4.38458252,4.12369332
684,3.314542802,4.30223465,4.155672074
685,3.853213553,4.363165379,4.190983006
686,3.8956559,4.418809414,4.229486757
687,4.06428716,4.420959473,4.271031373
688,4.493402649,4.52595377,4.315452894
689,4.743533224,4.314317703,4.36257601
690,3.630975591,4.405508995,4.412214748
691,4.482747246,4.414509773,4.464173205
692,4.736225922,4.452802181,4.518246326
693,3.522898127,4.567900658,4.574220708
694,4.243667863,4.645989895,4.631875447
695,4.649861429,4.362670898,4.690983006
696,6.096388898,4.564750195,4.751310113
697,4.830971761,4.643599987,4.812618685
698,4.206181558,4.344466209,4.874666766
699,5.939776292,4.497900486,4.93720948
700,5.780041493,4.615848064,5
701,3.813702782,5.175280571,5.06279052
702,5.354454247,4.675060272,5.125333234
703,6.144463468,4.488108158,5.187381315
